web-scraper-order,web-scraper-start-url,links,links-href,brand,price,color,size and fit,fabric and care,pages,pages-href
1755873163-1,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Oversized Raglan Sleeve Hooded Top W Mesh,https://carbon38.com/en-in/products/oversized-raglan-sleeve-hooded-top-w-mesh-black?_pos=298&_fid=a377d3121&_ss=c,NORMA KAMALI,"Rs. 24,500.00",Black,Fits oversized.  Model is wearing size S.,"4-way stretch Terry and Mesh.

Terry Composition: 95% cotton 5% spandex. Mesh Composition: 82% nylon 18% spandex.

For the long life of this easy care style, please follow the directions: machine wash cold, gentle cycle, tumble dry low, cool iron, do not dry clean.",4,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=4&filter.p.m.custom.available_or_waitlist=1
1755873189-2,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Super OS Sleeveless BF NK Shirt Flared Mini Dress,https://carbon38.com/en-in/products/super-os-sleeveless-bf-nk-shirt-flared-mini-dress-black?_pos=297&_fid=a377d3121&_ss=c,NORMA KAMALI,"Rs. 31,200.00",Black,Model is wearing size S.,"Wash in cold water with like colors, do not bleach, lay flat to dry, cool iron only, do not dry clean.",4,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=4&filter.p.m.custom.available_or_waitlist=1
1755873215-3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Super OS Sleeveless BF NK Shirt Bodysuit,https://carbon38.com/en-in/products/super-os-sleeveless-bf-nk-shirt-bodysuit-snow-white?_pos=296&_fid=a377d3121&_ss=c,NORMA KAMALI,"Rs. 18,800.00",Snow White,Model is wearing size S.,"Wash in cold water with like colors, do not bleach, lay flat to dry, cool iron only, do not dry clean.",4,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=4&filter.p.m.custom.available_or_waitlist=1
1755873226-4,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Oversized Raglan Sleeve hooded Mini Dress W Mesh,https://carbon38.com/en-in/products/oversized-raglan-sleeve-hooded-mini-dress-w-mesh-snow-white?_pos=295&_fid=a377d3121&_ss=c,NORMA KAMALI,"Rs. 25,500.00",Snow White,Model is wearing size S.,"Machine wash cold, gentle cycle, tumble dry low, cool iron, do not dry clean.",4,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=4&filter.p.m.custom.available_or_waitlist=1
1755873252-5,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Long Sleeve Turtle Bodysuit,https://carbon38.com/en-in/products/long-sleeve-turtle-bodysuit-elm?_pos=294&_fid=a377d3121&_ss=c,NORMA KAMALI,"Rs. 17,800.00",Elm,"4-way stretch Poly Lycra.

Composition: 95% polyester 5% elastane



For the long life of this easy care style, please follow the directions: wash in cold water with like colors, only non-chlorine bleach as needed, lay flat to dry, cool iron only, do not dry clean.","4-way stretch Poly Lycra.

Composition: 95% polyester 5% elastane



For the long life of this easy care style, please follow the directions: wash in cold water with like colors, only non-chlorine bleach as needed, lay flat to dry, cool iron only, do not dry clean.",4,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=4&filter.p.m.custom.available_or_waitlist=1
1755873275-6,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Drop Shoulder top,https://carbon38.com/en-in/products/drop-shoulder-top-black?_pos=293&_fid=a377d3121&_ss=c,NORMA KAMALI,"Rs. 8,200.00",Black,Model is wearing size S.,"Hand wash cool water, line dry, do not dry clean.",4,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=4&filter.p.m.custom.available_or_waitlist=1
1755873301-7,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Slim Fit Long Sleeve Turtle Top,https://carbon38.com/en-in/products/slim-fit-long-sleeve-turtle-top-black?_pos=292&_fid=a377d3121&_ss=c,NORMA KAMALI,"Rs. 18,800.00",Black,,,4,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=4&filter.p.m.custom.available_or_waitlist=1
1755873328-8,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Super Oversized Boyfriend NK Shirt Bodysuit,https://carbon38.com/en-in/products/super-oversized-boyfriend-nk-shirt-bodysuit-elm?_pos=291&_fid=a377d3121&_ss=c,NORMA KAMALI,"Rs. 26,400.00",Elm,,,4,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=4&filter.p.m.custom.available_or_waitlist=1
1755873354-9,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Mia Shirt Love,https://carbon38.com/en-in/products/mia-shirt-love-chambray-blue?_pos=290&_fid=a377d3121&_ss=c,KERRI ROSENTHAL,"Rs. 25,800.00",Chambray Blue,"Fits true to size. Model is wearing a size small. Body length is 28 1/2"", size small. Classic fit","100% Cotton Denim

Machine wash in cold water, gentle cycle, with similar colors. Do not bleach, tumble dry low",4,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=4&filter.p.m.custom.available_or_waitlist=1
1755873380-10,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Half Zip With Contrast Stripe in Scuba,https://carbon38.com/en-in/products/half-zip-with-contrast-stripe-ivory?_pos=289&_fid=a377d3121&_ss=c,CARBON38,"Rs. 14,300.00",Ivory,Model is wearing size S. Fits true to size.,"55% Nylon, 38% Rayon, 7% Spandex

Machine Wash Cold w/ Like Colors

Do Not Bleach

Line Dry

Cool Iron if needed",4,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=4&filter.p.m.custom.available_or_waitlist=1
