web-scraper-order,web-scraper-start-url,pagination-selector,data-page-selector,data-page-selector-href,Product-AggregateRating-reviewCount-0,Product-AggregateRating-ratingValue-0,Product-Brand-name-0,Product-Offer-price-0,Product-name-0,highlights,description,Discount-0,Color-0
"1756103597-1","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple&page=1","Add to CompareApple iPhone 16 Pro Max (White Titanium, 256 GB)4.61,259 Ratings & 88 Reviews256 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.₹1,37,900₹1,44,9004% offOnly 9 leftUpto ₹52,700 Off on Exchange","https://www.flipkart.com/apple-iphone-16-pro-max-white-titanium-256-gb/p/itm78c52ab1c6488?pid=MOBH4JCVDHY68JZV&lid=LSTMOBH4JCVDHY68JZV0JXTK4&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_24&otracker=CLP_Filters&fm=organic&iid=d700df4c-30e7-4aef-b116-654b5ac289d3.MOBH4JCVDHY68JZV.SEARCH&ppt=browse&ppn=browse&ssid=piqwt65jxc0000001756103577126","56% off","4.7","Apple","₹1,37,900","Apple iPhone 16 Pro Max (White Titanium, 256 GB)","256 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor","iPhone 16 Pro Max. Built for Apple Intelligence. Featuring a stunning titanium design. Camera Control. 4K 120 fps Dolby Vision. And A18 Pro chip.","4% off","White Titanium"
"1756103609-2","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple&page=1","Add to CompareApple iPhone 16 Plus (Teal, 256 GB)4.63,379 Ratings & 183 Reviews256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.₹94,900₹99,9005% offUpto ₹52,700 Off on ExchangeBank Offer","https://www.flipkart.com/apple-iphone-16-plus-teal-256-gb/p/itmc838d56fd8d50?pid=MOBH4DQFASMZ3YKT&lid=LSTMOBH4DQFASMZ3YKTVGZ3RY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=CLP_Filters&fm=organic&iid=d700df4c-30e7-4aef-b116-654b5ac289d3.MOBH4DQFASMZ3YKT.SEARCH&ppt=browse&ppn=browse&ssid=piqwt65jxc0000001756103577126","55% off","4.6","Apple","₹94,900","Apple iPhone 16 Plus (Teal, 256 GB)","256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor","iPhone 16 Plus. Built for Apple Intelligence. Featuring Camera Control. 48 MP Fusion camera. Five vibrant colours. And A18 chip.","5% off","Teal"
"1756103621-3","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple&page=1","Add to CompareApple iPhone 16 Plus (Pink, 256 GB)4.63,379 Ratings & 183 Reviews256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.₹94,900₹99,9005% offUpto ₹52,700 Off on ExchangeBank Offer","https://www.flipkart.com/apple-iphone-16-plus-pink-256-gb/p/itm2e8da1548666b?pid=MOBH4DQFMHVMB3FH&lid=LSTMOBH4DQFMHVMB3FHXNC2US&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=CLP_Filters&fm=organic&iid=d700df4c-30e7-4aef-b116-654b5ac289d3.MOBH4DQFMHVMB3FH.SEARCH&ppt=browse&ppn=browse&ssid=piqwt65jxc0000001756103577126","55% off","4.6","Apple","₹94,900","Apple iPhone 16 Plus (Pink, 256 GB)","256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor","iPhone 16 Plus. Built for Apple Intelligence. Featuring Camera Control. 48 MP Fusion camera. Five vibrant colours. And A18 chip.","5% off","Pink"
"1756103633-4","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple&page=1","Add to CompareApple iPhone 16 Plus (Pink, 128 GB)4.63,379 Ratings & 183 Reviews128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.₹84,900₹89,9005% offUpto ₹52,700 Off on ExchangeBank Offer","https://www.flipkart.com/apple-iphone-16-plus-pink-128-gb/p/itm9761d2a9d8939?pid=MOBH4DQFHZ7NFCME&lid=LSTMOBH4DQFHZ7NFCMEPN9LIZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_21&otracker=CLP_Filters&fm=organic&iid=d700df4c-30e7-4aef-b116-654b5ac289d3.MOBH4DQFHZ7NFCME.SEARCH&ppt=browse&ppn=browse&ssid=piqwt65jxc0000001756103577126","53% off","4.6","Apple","₹84,900","Apple iPhone 16 Plus (Pink, 128 GB)","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor","iPhone 16 Plus. Built for Apple Intelligence. Featuring Camera Control. 48 MP Fusion camera. Five vibrant colours. And A18 chip.","5% off","Pink"
"1756103644-5","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple&page=1","Add to CompareApple iPhone 16 Pro (Natural Titanium, 256 GB)4.62,793 Ratings & 134 Reviews256 GB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.₹1,15,900₹1,29,90010% offSuper DealsOnly 1 left","https://www.flipkart.com/apple-iphone-16-pro-natural-titanium-256-gb/p/itm8d07958e8b89e?pid=MOBH4DQFQRF9VSQG&lid=LSTMOBH4DQFQRF9VSQGVR7HJE&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=CLP_Filters&fm=organic&iid=d700df4c-30e7-4aef-b116-654b5ac289d3.MOBH4DQFQRF9VSQG.SEARCH&ppt=browse&ppn=browse&ssid=piqwt65jxc0000001756103577126","55% off","4.7","Apple","₹1,15,900","Apple iPhone 16 Pro (Natural Titanium, 256 GB)","256 GB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor","iPhone 16 Pro. Built for Apple Intelligence. Featuring a stunning titanium design. Camera Control. 4K 120 fps Dolby Vision. And A18 Pro chip.","10% off","Natural Titanium"
"1756103656-6","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple&page=1","Add to CompareApple iPhone 16 (Pink, 256 GB)4.619,106 Ratings & 793 Reviews256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.₹84,900₹89,9005% offOnly 1 leftUpto ₹52,700 Off on Exchange","https://www.flipkart.com/apple-iphone-16-pink-256-gb/p/itm0d8c695cded44?pid=MOBH4DQF28XAYM2S&lid=LSTMOBH4DQF28XAYM2SACDEOG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=CLP_Filters&fm=organic&iid=d700df4c-30e7-4aef-b116-654b5ac289d3.MOBH4DQF28XAYM2S.SEARCH&ppt=browse&ppn=browse&ssid=piqwt65jxc0000001756103577126","53% off","4.6","Apple","₹84,900","Apple iPhone 16 (Pink, 256 GB)","256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor","iPhone 16. Built for Apple Intelligence. Featuring Camera Control. 48 MP Fusion camera. Five vibrant colours. And A18 chip.","5% off","Pink"
"1756103668-7","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple&page=1","Add to CompareApple iPhone 14 (Blue, 128 GB)4.63,13,907 Ratings & 11,688 Reviews128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.₹52,990₹59,90011% offUpto ₹40,850 Off on ExchangeBank Offer","https://www.flipkart.com/apple-iphone-14-blue-128-gb/p/itmdb77f40da6b6d?pid=MOBGHWFHSV7GUFWA&lid=LSTMOBGHWFHSV7GUFWAFEQJQ4&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=CLP_Filters&fm=organic&iid=d700df4c-30e7-4aef-b116-654b5ac289d3.MOBGHWFHSV7GUFWA.SEARCH&ppt=browse&ppn=browse&ssid=piqwt65jxc0000001756103577126","53% off","4.6","Apple","₹52,990","Apple iPhone 14 (Blue, 128 GB)","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor","Stay productive and improve your performance with the Super Retina XDR display that is comfortable for the eyes. Powered with a 12 MP main camera, enjoy taking pictures with friends and family. With a built-in rechargeable lithium-ion battery and equipped with the MagSafe wireless charging, you can charge your phone quickly up to 50 % in just half an hour by using a 20 W adapter. This phone is loaded with a horde of exciting features such as Siri, face ID, barometer, ambient light sensors etc., and is also resistant to dust and water as it is IP68 rated.","11% off","Blue"
"1756103679-8","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple&page=1","Add to CompareApple iPhone 16 Pro Max (Desert Titanium, 256 GB)4.61,259 Ratings & 88 Reviews256 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.₹1,37,900₹1,44,9004% offOnly 5 leftUpto ₹52,700 Off on Exchange","https://www.flipkart.com/apple-iphone-16-pro-max-desert-titanium-256-gb/p/itmb102b8a51100e?pid=MOBH4DQFTQHZAKAF&lid=LSTMOBH4DQFTQHZAKAFRC45AZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=CLP_Filters&fm=organic&iid=d700df4c-30e7-4aef-b116-654b5ac289d3.MOBH4DQFTQHZAKAF.SEARCH&ppt=browse&ppn=browse&ssid=piqwt65jxc0000001756103577126","56% off","4.7","Apple","₹1,37,900","Apple iPhone 16 Pro Max (Desert Titanium, 256 GB)","256 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor","iPhone 16 Pro Max. Built for Apple Intelligence. Featuring a stunning titanium design. Camera Control. 4K 120 fps Dolby Vision. And A18 Pro chip.","4% off","Desert Titanium"
"1756103690-9","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple&page=1","Add to CompareApple iPhone 16 (White, 256 GB)4.619,106 Ratings & 793 Reviews256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.₹84,900₹89,9005% offOnly 2 leftUpto ₹52,700 Off on Exchange","https://www.flipkart.com/apple-iphone-16-white-256-gb/p/itma0ed9b33a2973?pid=MOBH4DQFCU7ZY9HG&lid=LSTMOBH4DQFCU7ZY9HGOIRVNY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=CLP_Filters&fm=organic&iid=d700df4c-30e7-4aef-b116-654b5ac289d3.MOBH4DQFCU7ZY9HG.SEARCH&ppt=browse&ppn=browse&ssid=piqwt65jxc0000001756103577126","53% off","4.6","Apple","₹84,900","Apple iPhone 16 (White, 256 GB)","256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor","iPhone 16. Built for Apple Intelligence. Featuring Camera Control. 48 MP Fusion camera. Five vibrant colours. And A18 chip.","5% off","White"
"1756103702-10","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple&page=1","Add to CompareApple iPhone 16 Pro Max (Black Titanium, 256 GB)4.61,259 Ratings & 88 Reviews256 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.₹1,37,900₹1,44,9004% offOnly few leftUpto ₹52,700 Off on Exchange","https://www.flipkart.com/apple-iphone-16-pro-max-black-titanium-256-gb/p/itm7e75db4f27bd5?pid=MOBH4DQFNXH8SZ9D&lid=LSTMOBH4DQFNXH8SZ9DPEEEZO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=CLP_Filters&fm=organic&iid=d700df4c-30e7-4aef-b116-654b5ac289d3.MOBH4DQFNXH8SZ9D.SEARCH&ppt=browse&ppn=browse&ssid=piqwt65jxc0000001756103577126","56% off","4.7","Apple","₹1,37,900","Apple iPhone 16 Pro Max (Black Titanium, 256 GB)","256 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor","iPhone 16 Pro Max. Built for Apple Intelligence. Featuring a stunning titanium design. Camera Control. 4K 120 fps Dolby Vision. And A18 Pro chip.","4% off","Black Titanium"
