web-scraper-order,web-scraper-start-url,links,links-href,tittle,rating,reviews,price,discount,mrp,pages,pages-href
"1756105108-1","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple","","","","","","","","","Next","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple&page=2"
"1756105114-2","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple","Add to CompareApple iPhone 14 (Blue, 256 GB)4.63,13,907 Ratings & 11,688 Reviews256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.₹62,990₹69,9009% offUpto ₹49,700 Off on ExchangeBank Offer","https://www.flipkart.com/apple-iphone-14-blue-256-gb/p/itm04dba659735c7?pid=MOBGHWFHD3XPKDPN&lid=LSTMOBGHWFHD3XPKDPNUH3TWL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_24&otracker=CLP_Filters&fm=organic&iid=1f5893ba-1646-4bf8-8be9-3ab2c84fb331.MOBGHWFHD3XPKDPN.SEARCH&ppt=None&ppn=None&ssid=v53sc5rc8g0000001756105106216","Apple iPhone 14 (Blue, 256 GB)","","3,13,907 Ratings","₹62,990","9% off","₹69,900","",""
"1756105120-3","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple","Add to CompareApple iPhone 16 Plus (Teal, 256 GB)4.63,379 Ratings & 183 Reviews256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.₹94,900₹99,9005% offUpto ₹52,700 Off on ExchangeBank Offer","https://www.flipkart.com/apple-iphone-16-plus-teal-256-gb/p/itmc838d56fd8d50?pid=MOBH4DQFASMZ3YKT&lid=LSTMOBH4DQFASMZ3YKTVGZ3RY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=CLP_Filters&fm=organic&iid=1f5893ba-1646-4bf8-8be9-3ab2c84fb331.MOBH4DQFASMZ3YKT.SEARCH&ppt=None&ppn=None&ssid=v53sc5rc8g0000001756105106216","Apple iPhone 16 Plus (Teal, 256 GB)","","3,379 Ratings","₹94,900","5% off","₹99,900","",""
"1756105126-4","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple","Add to CompareApple iPhone 14 Plus (Starlight, 128 GB)4.686,207 Ratings & 4,756 Reviews128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.₹69,900Upto ₹49,700 Off on ExchangeBank Offer","https://www.flipkart.com/apple-iphone-14-plus-starlight-128-gb/p/itmc922ddc8af349?pid=MOBGHWFHVCB2YZYR&lid=LSTMOBGHWFHVCB2YZYRBDOEVN&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=CLP_Filters&fm=organic&iid=1f5893ba-1646-4bf8-8be9-3ab2c84fb331.MOBGHWFHVCB2YZYR.SEARCH&ppt=None&ppn=None&ssid=v53sc5rc8g0000001756105106216","Apple iPhone 14 Plus (Starlight, 128 GB)","","86,207 Ratings","₹69,900","","","",""
"1756105132-5","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple","Add to CompareApple iPhone 16 Plus (Pink, 128 GB)4.63,379 Ratings & 183 Reviews128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.₹84,900₹89,9005% offUpto ₹52,700 Off on ExchangeBank Offer","https://www.flipkart.com/apple-iphone-16-plus-pink-128-gb/p/itm9761d2a9d8939?pid=MOBH4DQFHZ7NFCME&lid=LSTMOBH4DQFHZ7NFCMEPN9LIZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_21&otracker=CLP_Filters&fm=organic&iid=1f5893ba-1646-4bf8-8be9-3ab2c84fb331.MOBH4DQFHZ7NFCME.SEARCH&ppt=None&ppn=None&ssid=v53sc5rc8g0000001756105106216","Apple iPhone 16 Plus (Pink, 128 GB)","","3,379 Ratings","₹84,900","5% off","₹89,900","",""
"1756105138-6","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple","Add to CompareApple iPhone 16 (White, 256 GB)4.619,106 Ratings & 793 Reviews256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.₹84,900₹89,9005% offUpto ₹52,700 Off on ExchangeBank Offer","https://www.flipkart.com/apple-iphone-16-white-256-gb/p/itma0ed9b33a2973?pid=MOBH4DQFCU7ZY9HG&lid=LSTMOBH4DQFCU7ZY9HGLY6DQP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=CLP_Filters&fm=organic&iid=1f5893ba-1646-4bf8-8be9-3ab2c84fb331.MOBH4DQFCU7ZY9HG.SEARCH&ppt=None&ppn=None&ssid=v53sc5rc8g0000001756105106216","Apple iPhone 16 (White, 256 GB)","","19,106 Ratings","₹84,900","5% off","₹89,900","",""
"1756105144-7","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple","Add to CompareApple iPhone 16 (Pink, 256 GB)4.619,106 Ratings & 793 Reviews256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.₹84,900₹89,9005% offOnly 2 leftUpto ₹52,700 Off on Exchange","https://www.flipkart.com/apple-iphone-16-pink-256-gb/p/itm0d8c695cded44?pid=MOBH4DQF28XAYM2S&lid=LSTMOBH4DQF28XAYM2SACDEOG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=CLP_Filters&fm=organic&iid=1f5893ba-1646-4bf8-8be9-3ab2c84fb331.MOBH4DQF28XAYM2S.SEARCH&ppt=None&ppn=None&ssid=v53sc5rc8g0000001756105106216","Apple iPhone 16 (Pink, 256 GB)","","19,106 Ratings","₹84,900","5% off","₹89,900","",""
"1756105150-8","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple","Add to CompareApple iPhone 16 Pro Max (Black Titanium, 256 GB)4.61,259 Ratings & 88 Reviews256 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.₹1,37,900₹1,44,9004% offOnly few leftUpto ₹52,700 Off on Exchange","https://www.flipkart.com/apple-iphone-16-pro-max-black-titanium-256-gb/p/itm7e75db4f27bd5?pid=MOBH4DQFNXH8SZ9D&lid=LSTMOBH4DQFNXH8SZ9DPEEEZO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=CLP_Filters&fm=organic&iid=1f5893ba-1646-4bf8-8be9-3ab2c84fb331.MOBH4DQFNXH8SZ9D.SEARCH&ppt=None&ppn=None&ssid=v53sc5rc8g0000001756105106216","Apple iPhone 16 Pro Max (Black Titanium, 256 GB)","","1,259 Ratings","₹1,37,900","4% off","₹1,44,900","",""
"1756105156-9","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple","Add to CompareApple iPhone 14 (Blue, 128 GB)4.63,13,907 Ratings & 11,688 Reviews128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.₹52,990₹59,90011% offUpto ₹40,850 Off on ExchangeBank Offer","https://www.flipkart.com/apple-iphone-14-blue-128-gb/p/itmdb77f40da6b6d?pid=MOBGHWFHSV7GUFWA&lid=LSTMOBGHWFHSV7GUFWAFEQJQ4&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=CLP_Filters&fm=organic&iid=1f5893ba-1646-4bf8-8be9-3ab2c84fb331.MOBGHWFHSV7GUFWA.SEARCH&ppt=None&ppn=None&ssid=v53sc5rc8g0000001756105106216","Apple iPhone 14 (Blue, 128 GB)","","3,13,907 Ratings","₹52,990","11% off","₹59,900","",""
"1756105162-10","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple","Add to CompareApple iPhone 16 Pro (Black Titanium, 256 GB)4.62,793 Ratings & 134 Reviews256 GB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.₹1,15,900₹1,29,90010% offLowest price since launchOnly 1 left","https://www.flipkart.com/apple-iphone-16-pro-black-titanium-256-gb/p/itm9ce88307f4033?pid=MOBH4DQFEJYHHM7X&lid=LSTMOBH4DQFEJYHHM7X0NSARQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=CLP_Filters&fm=organic&iid=1f5893ba-1646-4bf8-8be9-3ab2c84fb331.MOBH4DQFEJYHHM7X.SEARCH&ppt=None&ppn=None&ssid=v53sc5rc8g0000001756105106216","Apple iPhone 16 Pro (Black Titanium, 256 GB)","","2,793 Ratings","₹1,15,900","10% off","₹1,29,900","",""
"1756105168-11","https://www.flipkart.com/search?sid=tyy%2C4io&otracker=CLP_Filters&p%5B%5D=facets.brand%255B%255D%3DApple","Add to CompareApple iPhone 16 Pro Max (Natural Titanium, 256 GB)4.61,259 Ratings & 88 Reviews256 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.₹1,37,900₹1,44,9004% offOnly few leftUpto ₹52,700 Off on Exchange","https://www.flipkart.com/apple-iphone-16-pro-max-natural-titanium-256-gb/p/itm05ad8e674782a?pid=MOBH4DQFRST2BQQ8&lid=LSTMOBH4DQFRST2BQQ8K6DDJM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=CLP_Filters&fm=organic&iid=1f5893ba-1646-4bf8-8be9-3ab2c84fb331.MOBH4DQFRST2BQQ8.SEARCH&ppt=None&ppn=None&ssid=v53sc5rc8g0000001756105106216","Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)","","1,259 Ratings","₹1,37,900","4% off","₹1,44,900","",""
