web-scraper-order,web-scraper-start-url,pagination-selector,data-page-selector,data-page-selector-href,Product-AggregateRating-ratingValue-0,Product-Thing-name-0,Product-color-0,Product-sku-0,Product-description-0,BreadcrumbList-ListItem-name-0,Price-0,Review Count-0,Sleeve Length-0,Fit-0,Common generic name-0,Country of production-0,Net Quantity-0,Marketed and imported by-0
"1756098409-1","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1049251001.html","4.7","Cropped","Black","Art. No.: 1049251001","Cropped, fitted vest top in ribbed cotton jersey with a narrow trim around the neckline and armholes.","Cropped vest top","Rs. 699.00","Reviews [4893]","Sleeveless","Slim fit","Vest top","Bangladesh","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098415-2","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1049251048.html","4.7","Cropped","Dark green","Art. No.: 1049251048","Cropped, fitted vest top in ribbed cotton jersey with a narrow trim around the neckline and armholes.","Cropped vest top","Rs. 699.00","Reviews [4893]","Sleeveless","Slim fit","Vest top","Bangladesh","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098421-3","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1049251041.html","4.7","Cropped","Brown","Art. No.: 1049251041","Cropped, fitted vest top in ribbed cotton jersey with a narrow trim around the neckline and armholes.","Cropped vest top","Rs. 699.00","Reviews [4893]","Sleeveless","Slim fit","Vest top","India","1 N",""
"1756098427-4","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1049251045.html","4.7","Cropped","Pink","Art. No.: 1049251045","Cropped, fitted vest top in ribbed cotton jersey with a narrow trim around the neckline and armholes.","Cropped vest top","Rs. 699.00","Reviews [4893]","Sleeveless","Slim fit","Vest top","India","1 N",""
"1756098431-5","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1256611004.html","4","Cropped","Light beige","Art. No.: 1256611004","Cropped, boxy-style sports vest top in functional fabric made with DryMove™, which helps pull moisture away from your skin, keeping you comfortably dry while moving. Loose fit with a round neckline and a straight-cut hem with a slit at each side.","Boxy-style sports vest top with DryMove™","Rs. 799.00","Reviews [7]","Sleeveless","Loose fit","Vest top","Cambodia","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098439-6","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1229020001.html","4.8","Cropped","Black","Art. No.: 1229020001","Cropped sports top in functional fabric made with DryMove™, which helps pull moisture away from your skin, keeping you comfortably dry while moving. Slim fit featuring an integral sports bra with padded cups that shape the bust and a concealed, elasticated hem. Wide shoulder straps and a racer back.","Integral-bra sports top with DryMove™","Rs. 1,999.00","Reviews [5]","Sleeveless","Slim fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098446-7","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1293591001.html","5","Cropped","Burgundy","Art. No.: 1293591001","Cropped, fitted top in soft jersey with a deep, V-shaped neckline and wide shoulder straps. It features a braided detail with shimmering plastic beads down the front, creating a gently draped effect.","Braid-detail top","Rs. 1,299.00","Reviews [1]","Sleeveless","Slim fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098451-8","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1229020005.html","4.8","Cropped","Red","Art. No.: 1229020005","Cropped sports top in functional fabric made with DryMove™, which helps pull moisture away from your skin, keeping you comfortably dry while moving. Slim fit featuring an integral sports bra with padded cups that shape the bust and a concealed, elasticated hem. Wide shoulder straps and a racer back.","Integral-bra sports top with DryMove™","Rs. 1,999.00","Reviews [5]","Sleeveless","Slim fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098458-9","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1249565002.html","","Cropped","Light beige/Striped","Art. No.: 1249565002","Cropped vest top in ribbed cotton jersey with a round neckline and a narrow trim around the neckline and armholes.","Cropped vest top","Rs. 699.00","Reviews [43]","Sleeveless","Regular fit","Vest top","Bangladesh","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098466-10","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1237985001.html","5","Cropped","White","Art. No.: 1237985001","Cropped, sleeveless top in an airy cotton weave with broderie anglaise and open sides with two pairs of narrow ties at each side. Round neckline and a curved seam at the back of the waist with a flared peplum.","Broderie anglaise top","Rs. 2,999.00","Reviews [1]","Sleeveless","Regular fit","Tank top","India","1 N",""
"1756098473-11","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1285882001.html","","Cropped","Green","Art. No.: 1285882001","Cropped beach top in an airy weave with broderie anglaise. Round neckline and tie-top spaghetti shoulder straps.","Cropped beach top","Rs. 1,599.00","","Sleeveless","Loose fit","Top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098480-12","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1049251042.html","4.7","Cropped","Light blue","Art. No.: 1049251042","Cropped, fitted vest top in ribbed cotton jersey with a narrow trim around the neckline and armholes.","Cropped vest top","Rs. 699.00","Reviews [4893]","Sleeveless","Slim fit","Vest top","Bangladesh","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098486-13","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1269499004.html","5","Cropped","Light denim blue","Art. No.: 1269499004","Cropped, fitted top in slightly stretchy denim with a round neckline and buttons down the front. Decorative pocket flaps with a button on the chest. Waist darts at the front and back to create a nipped-in effect.","Cropped denim top","Rs. 1,499.00","Reviews [1]","","Slim fit","Vest top","Bangladesh","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098493-14","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1248581002.html","4.7","Cropped","Silver-coloured","Art. No.: 1248581002","Cropped, fitted top in shimmering jersey with gathered side seams for a draped effect. Square neckline and elastic spaghetti shoulder straps. Lined.","Draped strappy top","Rs. 799.00","Reviews [91]","Sleeveless","Slim fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098500-15","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1049251039.html","4.7","Cropped","White/Red striped","Art. No.: 1049251039","Cropped, fitted vest top in ribbed cotton jersey with a narrow trim around the neckline and armholes.","Cropped vest top","Rs. 699.00","Reviews [4893]","Sleeveless","Slim fit","Vest top","Bangladesh","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098505-16","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1248581003.html","4.7","Cropped","Bronze-coloured","Art. No.: 1248581003","Cropped, fitted top in shimmering jersey with gathered side seams for a draped effect. Square neckline and elastic spaghetti shoulder straps. Lined.","Draped strappy top","Rs. 799.00","Reviews [91]","Sleeveless","Slim fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
