web-scraper-order,web-scraper-start-url,links,links-href,pages,pages-href,tittle,price,colour,rating,reviews,description,sku
"1756105778-1","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","2","https://www2.hm.com//women/shop-by-product/tops/cropped-tops.html?page=2","","","","","","",""
"1756105778-2","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","3","https://www2.hm.com//women/shop-by-product/tops/cropped-tops.html?page=3","","","","","","",""
"1756105793-3","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","https://www2.hm.com/en_in/productpage.1283561003.html","","","Bralette top","Rs. 1,499.00","Dark khaki green","3.7","Reviews [3]","Cropped bralette top in jersey with lined, gathered cups and wide shoulder straps.","Art. No.: 1283561003"
"1756105798-4","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","https://www2.hm.com/en_in/productpage.1289924001.html","","","Fringe-trimmed top","Rs. 1,599.00","Dark brown","","","Cropped, sleeveless top in woven fabric with rows of fringes throughout the design. Round neckline and a keyhole opening with narrow, coated ties at the back. Straight-cut hem with a slit at each side. Lined.","Art. No.: 1289924001"
"1756105804-5","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","https://www2.hm.com/en_in/productpage.1049251002.html","","","Cropped vest top","Rs. 699.00","White","4.7","Reviews [4894]","Cropped, fitted vest top in ribbed cotton jersey with a narrow trim around the neckline and armholes.","Art. No.: 1049251002"
"1756105811-6","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","https://www2.hm.com/en_in/productpage.1271900002.html","","","Cropped vest top","Rs. 999.00","Black","4","Reviews [1]","Cropped, fitted vest top in ribbed cotton jersey with ladder lace insets around the neckline and armholes.","Art. No.: 1271900002"
"1756105816-7","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","https://www2.hm.com/en_in/productpage.1271900001.html","","","Cropped vest top","Rs. 999.00","White","4","Reviews [1]","Cropped, fitted vest top in ribbed cotton jersey with ladder lace insets around the neckline and armholes.","Art. No.: 1271900001"
"1756105822-8","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","https://www2.hm.com/en_in/productpage.1293591005.html","","","Braid-detail top","Rs. 1,299.00","","5","","","Art. No.: 1293591005"
"1756105855-9","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","https://www2.hm.com/en_in/productpage.1255494004.html","","","Cropped polo shirt","Rs. 999.00","","4.5","","","Art. No.: 1255494004"
"1756105859-10","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","https://www2.hm.com/en_in/productpage.1297263001.html","","","Knitted vest top","Rs. 2,499.00","","","","","Art. No.: 1297263001"
"1756105868-11","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","https://www2.hm.com/en_in/productpage.1296003001.html","","","Pleated top","Rs. 1,899.00","","","","","Art. No.: 1296003001"
"1756105883-12","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","https://www2.hm.com/en_in/productpage.1296060002.html","","","Lace-trimmed strappy top","Rs. 699.00","","5","","","Art. No.: 1296060002"
"1756105896-13","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","https://www2.hm.com/en_in/productpage.1269499001.html","","","Cropped denim top","Rs. 1,499.00","","5","","","Art. No.: 1269499001"
"1756105903-14","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","https://www2.hm.com/en_in/productpage.1297652001.html","","","Cropped vest top","Rs. 1,299.00","","","","","Art. No.: 1297652001"
"1756105907-15","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","https://www2.hm.com/en_in/productpage.1283562006.html","","","Cropped off-the-shoulder top","Rs. 1,499.00","","5","","","Art. No.: 1283562006"
"1756105914-16","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","https://www2.hm.com/en_in/productpage.1290388002.html","","","Draped cropped top","Rs. 899.00","","","","","Art. No.: 1290388002"
"1756105920-17","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","https://www2.hm.com/en_in/productpage.1295297002.html","","","Tie-detail crop top","Rs. 1,299.00","","","","","Art. No.: 1295297002"
