web-scraper-order,web-scraper-start-url,pagination-selector,data-page-selector,data-page-selector-href,Product-Thing-name-0,Product-sku-0,Product-Offer-price-0,Product-name-0,breadcrumbs-0,rating-0,maximum_retail_price-0,product_details-0,tshirt_design-0,tshirt_neck-0,tshirt_sleeves-0,trousers_design-0,trousers_closure-0,trousers_pockets-0,size_fit_info-0,tshirt_fabric-0,bottom_closure-0,bottom_fabric-0,bottom_pattern-0,bottom_type-0,neck-0,occasions-0
"1756115118-1","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","KALINIT-shirt & Joggers Co-OrdSizes: LRs. 589Rs. 2999(Rs. 2410 OFF)","https://www.myntra.com/co-ords/kalini/kalini-printed-t-shirt--joggers-co-ord/27375608/buy","StyFun","27375608","₹589","Printed T-shirt & Joggers Co-Ord","Home/Clothing/Women Clothing/Co-Ords/KALINI Co-Ords>More by KALINI","","₹2999","This co-ords consists of T-shirt and jogger
Pink solid T-shirt, has Round neck, short sleeves
Pink solid mid-rise jogger, has slip-on closure","","","","","","","The model (height 5'8"") is wearing S","Top Fabric:Cotton Blend
Bottom Fabric: Cotton Blend 
Machine Wash","Slip-On","Cotton Blend","Printed","Joggers","Round Neck","Casual"
"1756115121-2","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","SeraWomen Checked Co-OrdsSizes: XLRs. 381Rs. 1998(80% OFF)Only Few Left!","https://www.myntra.com/co-ords/sera/sera-women-pink--white-checked-pure-cotton-co-ords/18360198/buy","STYLECAST X KASSUALLY","18360198","₹381","Women Pink & White Checked Pure Cotton Co-Ords","Home/Clothing/Women Clothing/Co-Ords/Sera Co-Ords>More by Sera","2.9","₹1998","Pink & White Checked Pure Cotton Co-Ords
Pink & White Checked Crop Top, has shoudler straps
Pink & White Checked Skirt, has drawstring closure, 2 pockets","","","","","","","The model (height 5'8) is wearing a size S","Pure Cotton
Machine wash","Drawstring","Pure Cotton","Checked","Skirt","Has a lining","Casual"
"1756115123-3","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","FashfunV-Neck Waistcoat & TrousersSizes: Rs. 1999","https://www.myntra.com/co-ords/fashfun/fashfun-v-neck-waistcoat-with-trousers/31197971/buy","sollobell","31197971","₹ 1999","V-Neck Waistcoat With Trousers","Home/Clothing/Women Clothing/Co-Ords/Fashfun Co-Ords>More by Fashfun","","","This co-ords consists of a waistcoat and trousers
Pink solid waistcoat has a V neck and sleeveless, Secured with button closure and chic back tie-up
Pink solid trousers, has an elasticated waistband with slip-on closure and 2 pockets","","","","","","","The model (height 5'8"") is wearing a size XS","Top Fabric: Polyester
Bottom Fabric: Polyester
Hand Wash","Slip-On","Polyester","Solid","Trousers","V-Neck","Casual"
"1756115127-4","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","GUTICropped Top & Trouser Co-OrdsSizes: MRs. 399Rs. 1999(Rs. 1600 OFF)Only Few Left!","https://www.myntra.com/co-ords/guti/guti-cropped-top--trouser-co-ords/22432478/buy","VIRAASI","22432478","₹399","Cropped Top & Trouser Co-Ords","Home/Clothing/Women Clothing/Co-Ords/GUTI Co-Ords>More by GUTI","","₹1999","Pink solid cropped top, has round neck, short sleeves, slip on closure and straight hem
Pink solid mid-rise trousers, has an inner elasticated waistband with drawstring closure","","","","","","","The model (height 5'8"") is wearing size S","Cotton blend
Machine Wash","Slip-On","Cotton Blend","Solid","Trousers","Round Neck","Short Sleeves"
"1756115130-5","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","Clora CreationAbstract Printed Co-OrdsSizes: 3XLRs. 593Rs. 3999(Rs. 3406 OFF)Only Few Left!","https://www.myntra.com/co-ords/clora+creation/clora-creation-abstract-printed-shirt--trouser/30224342/buy","Moda Rapido","30224342","₹593","Abstract Printed Shirt & Trouser","Home/Clothing/Women Clothing/Co-Ords/Clora Creation Co-Ords>More by Clora Creation","","₹3999","Pink and grey printed co-ords has shirt and trousers
Pink and grey printed shirt, has a shirt collar, button closure, and three-quarter sleeves
Pink and grey printed mid-rise trousers, has elasticated waistband with slip-on closure and 2 side pockets","","","","","","","The model (height 5'8"") is wearing a size M","Top Fabric : Viscose Rayon
Bottom Fabric: Viscose Rayon
Hand Wash","Slip-On","Viscose Rayon","Printed","Trousers","Shirt Collar","Casual"
"1756115132-6","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","KALINIPrinted Tunic With TrouserSizes: SRs. 1903Rs. 11199(83% OFF)","https://www.myntra.com/co-ords/kalini/kalini-printed-shirt-collar-tunic-with-trouser/32121937/buy","mad fury","32121937","₹1903","Printed Shirt Collar Tunic With Trouser","Home/Clothing/Women Clothing/Co-Ords/KALINI Co-Ords>More by KALINI","","₹11199","This co-ords consists of a tunic and trousers
Pink, purple and yellow printed tunic, has a spread collar and long sleeves, secured with slip-on closure
Pink, purple and yellow printed trousers, has an elasticated waistband with slip-on closure","","","","","","","The model (height 5'8'') is wearing a size S","Top fabric: Silk Blend
Bottom fabric: Silk Blend
 Dry Clean","Slip-On","Silk Blend","Printed","Trousers","Shirt Collar","1 tunic 1 trouser"
"1756115135-7","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","CHKOKKOWomen Printed Top with ShortsSizes: XXLRs. 412Rs. 2749(85% OFF)Only Few Left!","https://www.myntra.com/co-ords/chkokko/chkokko-women-pink-printed-top-with-shorts/17562096/buy","sollobell","17562096","₹412","Chkokko Women Pink Printed Top with Shorts","Home/Clothing/Women Clothing/Co-Ords/CHKOKKO Co-Ords>More by CHKOKKO","2.9","₹2749","This clothing set consists of Top and Shorts 
 Pink printed Top ,has a shoulder straps,  sleeveless 
 Pink printed Shorts ,has a slip-on closure","","","","","","","The model (height 5'8) is wearing a size S","Polyester
Machine wash","Slip-On","Polyester","Printed","Shorts","Shoulder Straps","Sleeveless"
"1756115138-8","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","CHKOKKOWomen Top & ShortsSizes: SRs. 412Rs. 2749(85% OFF)","https://www.myntra.com/co-ords/chkokko/chkokko-women-pink--white-tie--dye-one-shoulder-top--shorts/17562168/buy","LAASA  SPORTS","17562168","₹412","Chkokko Women Pink & White Tie & Dye One Shoulder Top & Shorts","Home/Clothing/Women Clothing/Co-Ords/CHKOKKO Co-Ords>More by CHKOKKO","","₹2749","Pink & white tie & dye printed one shoulder top 
Pink & white tie & dye printed shorts has slip-on closure, 2 pockets","","","","","","","The model (height 5'8"") is wearing a size S","Polyester 
Hand wash","Slip-On","Polyester","Printed","Shorts","One Shoulder","Short Sleeves"
"1756115141-9","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","SeraSequinned  Co-OrdsSizes: XLRs. 431Rs. 2498(82% OFF)","https://www.myntra.com/co-ords/sera/sera-pink--silver-sequinned-crop-top--skirt-co-ords/17656502/buy","Floret","17656502","₹431","Pink & Silver Sequinned Crop Top & Skirt Co-Ords","Home/Clothing/Women Clothing/Co-Ords/Sera Co-Ords>More by Sera","","₹2498","This co-ord set consists of a top and skirt
Peach-coloured and silver sequinned crop top, has shoulder straps
Peach-coloured and silver sequinned a-line skirt, has a zip closure","","","","","","","The model (height 5'8"") is wearing size M","Polyester
Hand wash","Zip","Polyester","Embellished","Skirt","Has a lining","Bling & Sparkly"
"1756115143-10","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","ANNSH APPARELPrinted Tunic With TrousersSizes: 3XLRs. 599Rs. 2999(Rs. 2400 OFF)Only Few Left!","https://www.myntra.com/co-ords/annsh+apparel/annsh-apparel-conversational-printed-v-neck-tunic-with-trousers-/31569523/buy","ARTKLIM","31569523","₹599","Conversational Printed V-Neck Tunic With Trousers","Home/Clothing/Women Clothing/Co-Ords/ANNSH APPAREL Co-Ords>More by ANNSH APPAREL","4","₹2999","This co-ords consists of a tunic and trousers
Pink and white conversational printed tunic, has a v-neck and three-quarter sleeves
Pink and white conversational printed trousers, has an elasticated waistband with drawstring closure","","","","","","","The model (height 5'8"") is wearing a size S","Top Fabric: Viscose Rayon
Bottom Fabric: Viscose Rayon
Hand Wash","Drawstring","Viscose Rayon","Printed","Trousers","V-Neck","1 top and 1 pant"
"1756115146-11","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","A PLUS BY AHALYAACotton Tunic With PalazzoSizes: 3XLRs. 1940Rs. 9700(80% OFF)","https://www.myntra.com/co-ords/a+plus+by+ahalyaa/a-plus-by-ahalyaa-floral-printed-sequined-detailed-tunic-with-palazzo-co-ords/33017443/buy","Digital Dress Room","33017443","₹1940","Floral Printed Sequined Detailed Tunic With Palazzo Co-Ords","Home/Clothing/Women Clothing/Co-Ords/A PLUS BY AHALYAA Co-Ords>More by A PLUS BY AHALYAA","4.3","₹9700","This co-ords consists of a tunic with palazzos
Pink & green printed tunic with sequined lace, has a round-collar neck and three-quarter sleeves, secured with slip-on closure
Pink & green printed palazzo, has an elasticated waistband with slip-on closure","","","","","","","The model (height 5'8"") is wearing a size 3XL","Top fabric: Cotton blend
Bottom fabric: Cotton-blend","Slip-On","Cotton Blend","Printed","Palazzos","Mandarin Collar","1"
"1756115149-12","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","THE FAB FACTORYFloral Tunic with SalwarSizes: SRs. 649Rs. 3799(Rs. 3150 OFF)Only Few Left!","https://www.myntra.com/co-ords/the+fab+factory/the-fab-factory-floral-printed-tunic-with-salwar/34962823/buy","","34962823","₹649","Floral Printed Tunic with Salwar","Home/Clothing/Women Clothing/Co-Ords/THE FAB FACTORY Co-Ords>More by THE FAB FACTORY","4.1","₹3799","Pink and green printed tunic with salwar

Kurta design: Floral printedMandarin collar, long regular sleevesAbove knee length with flared hemCotton blend knitted fabricSalwar design: Printed salwarSlip-on closure","Floral printed","Mandarin collar, long regular sleeves","Above knee length with flared hem","Printed salwar","Slip-on closure","","The model (height 5'8) is wearing a size S","Cotton Blend
Hand Wash","Slip-On","Cotton Blend","Printed","Trousers","Mandarin Collar","Casual"
"1756115152-13","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","FLAVIA CREATIONPure Cotton Tunic With TrouserSizes: SRs. 659Rs. 5499(88% OFF)","https://www.myntra.com/co-ords/flavia+creation/flavia-creation-printed-pure-cotton-tunic-with-trouser/30428421/buy","Harpa","30428421","₹659","Printed Pure Cotton Tunic With Trouser","Home/Clothing/Women Clothing/Co-Ords/FLAVIA CREATION Co-Ords>More by FLAVIA CREATION","","₹5499","Pink printed co-ords has tunic and trousers
Pink printed tunic, has a round notched neck, slip-on closure, and three-quarter sleeves
Pink printed mid-rise trousers, has elasticated waistband with slip-on closure and 2 side pockets","","","","","","","The model (height 5'8) is wearing a size S","Top: 100 % Cotton
Bottom: 100 % Cotton
Machine Wash","Slip-On","Pure Cotton","Printed","Trousers","Round Neck","Casual"
"1756115154-14","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","FLAVIA CREATIONPrinted Pure Cotton Co-OrdSizes: SRs. 934Rs. 5499(83% OFF)Only Few Left!","https://www.myntra.com/co-ords/flavia+creation/flavia-creation-printed-notched-neck-pure-cotton-co-ord/30428453/buy","Apraa & Parma","30428453","₹934","Printed Notched Neck Pure Cotton Co-Ord","Home/Clothing/Women Clothing/Co-Ords/FLAVIA CREATION Co-Ords>More by FLAVIA CREATION","","₹5499","Pink and yellow printed co-ords has tunic and trousers
Pink and yellow printed tunic, has a round notched neck, slip-on closure, and three-quarter sleeves
Pink and yellow printed mid-rise trousers, has elasticated waistband with slip-on closure and 2 side pockets","","","","","","","The model (height 5'8) is wearing a size S","Top: 100 % Cotton
Bottom: 100 % Cotton
Machine Wash","Slip-On","Pure Cotton","Printed","Trousers","Round Neck","Casual"
