web-scraper-order,web-scraper-start-url,data-page-selector,data-page-selector-href,Product-name-0,current_price-0,original_price-0,net_quantity-0,rating-0,review_count-0,product_type-0
1756118004-1,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,"ADD₹105₹126SAVE₹21250 g X 3Spinach - Cleaned, without roots Combo4.4(860)",https://www.zeptonow.com/pn/spinach-cleaned-without-roots-combo/pvid/8d066a61-14e5-43cb-af96-9654a18adbe6,"Spinach - Cleaned, without roots Combo",₹105,₹126,250 g X 3,4.4,(860),No
1756118007-2,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹166₹192SAVE₹262 pc X 2Pear Green Imported Combo4.4(570),https://www.zeptonow.com/pn/pear-green-imported-combo/pvid/fcb89f7e-76e0-4f94-bd1f-76738a3f5f00,Pear Green Imported Combo,₹166,₹192,2 pc X 2,4.4,(570),Yes
1756118009-3,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹130₹156SAVE₹262 pc X 2Apple Shimla Combo4.4(485),https://www.zeptonow.com/pn/apple-shimla-combo/pvid/fb3ec4ef-f535-4108-b383-18a2bb8ac494,Apple Shimla Combo,₹130,₹156,2 pc X 2,4.4,(485),Fruits
1756118012-4,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹118₹142SAVE₹24500 g X 2Orange Nagpur Combo4.3(869),https://www.zeptonow.com/pn/orange-nagpur-combo/pvid/4a4cb6e6-b558-4028-b1a6-3252410dc14d,Orange Nagpur Combo,₹118,₹142,500 g X 2,4.3,(869),BUNDLE
1756118014-5,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹162₹192SAVE₹30250 g X 2Grapes Red Globe Combo4.4(941),https://www.zeptonow.com/pn/grapes-red-globe-combo/pvid/02b18b79-50d5-4b7e-82d6-f1c8c2f992e1,Grapes Red Globe Combo,₹162,₹192,250 g X 2,4.4,(941),Fruits
1756118017-6,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹216₹262SAVE₹462 pcsTender Coconut Combo4.6(442),https://www.zeptonow.com/pn/tender-coconut-combo/pvid/455244ef-dfe5-477a-9250-70a69c61ac98,Tender Coconut Combo,₹216,₹262,2 pcs,4.6,(442),Fruits
1756118019-7,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹165₹213SAVE₹481 kg X 3Mosambi Regular Combo4.6(499),https://www.zeptonow.com/pn/mosambi-regular-combo/pvid/46047483-d774-43b2-9b36-c69c95e2a47a,Mosambi Regular Combo,₹165,₹213,1 kg X 3,4.6,(499),Fruits
1756118022-8,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹230₹264SAVE₹341 pc X 2Avocado Hass Imported Combo4.3(362),https://www.zeptonow.com/pn/avocado-hass-imported-combo/pvid/626e3787-9b99-4f8e-a3b1-4adf0b53feb8,Avocado Hass Imported Combo,₹230,₹264,1 pc X 2,4.3,(362),Yes
1756118024-9,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹84₹100SAVE₹16200 g X 2Yam Cut Combo4.6(673),https://www.zeptonow.com/pn/yam-cut-combo/pvid/e76950e5-421c-4099-9cac-ed765fb12af7,Yam Cut Combo,₹84,₹100,200 g X 2,4.6,(673),No
1756118026-10,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹318₹378SAVE₹60500 g X 2Mandarin Orange Premium Combo4.4(366),https://www.zeptonow.com/pn/mandarin-orange-premium-combo/pvid/4017235e-0fa1-45bb-aba7-f10815955dab,Mandarin Orange Premium Combo,₹318,₹378,500 g X 2,4.4,(366),Yes
1756118029-11,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹262₹308SAVE₹46500 g X 2Banana Elaichi / Yelakki Combo4.3(174),https://www.zeptonow.com/pn/banana-elaichi-yelakki-combo/pvid/2774b565-80da-47c8-a2e5-216517c75e7d,Banana Elaichi / Yelakki Combo,₹262,₹308,500 g X 2,4.3,(174),BUNDLE
1756118031-12,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹330₹382SAVE₹524 pc X 2Orange Imported Combo4.2(684),https://www.zeptonow.com/pn/orange-imported-combo/pvid/46dc32f0-12c0-4b94-b58a-631331fe0cb5,Orange Imported Combo,₹330,₹382,4 pc X 2,4.2,(684),BUNDLE
1756118033-13,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹321₹363SAVE₹421 pc X 3Snacky Avocado Combo4.4(53),https://www.zeptonow.com/pn/snacky-avocado-combo/pvid/26584d81-d48f-4a38-b2c4-188e7a3ae2d2,Snacky Avocado Combo,₹321,₹363,1 pc X 3,4.4,(53),BUNDLE
1756118036-14,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹210₹242SAVE₹321 pc X 2Snacky Avocado Combo4.7(367),https://www.zeptonow.com/pn/snacky-avocado-combo/pvid/cfbce723-0e0a-449e-a3fc-afab917f889c,Snacky Avocado Combo,₹210,₹242,1 pc X 2,4.7,(367),BUNDLE
1756118039-15,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹220₹268SAVE₹482 pc X 2Pomegranate Combo4.3(577),https://www.zeptonow.com/pn/pomegranate-combo/pvid/f4549364-dcc5-4dcf-9277-8ea73671b2df,Pomegranate Combo,₹220,₹268,2 pc X 2,4.3,(577),Fruits
1756118041-16,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹254₹300SAVE₹463 pc X 2Kiwi Green Combo4.7(951),https://www.zeptonow.com/pn/kiwi-green-combo/pvid/25bbaf5c-190a-40e5-840d-8b902e9f31e7,Kiwi Green Combo,₹254,₹300,3 pc X 2,4.7,(951),Chilean Kiwi
1756118044-17,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹182₹216SAVE₹342 pc X 2Banana Nendran Combo4.2(542),https://www.zeptonow.com/pn/banana-nendran-combo/pvid/f71454ce-b127-40e7-99e7-28f9fafec657,Banana Nendran Combo,₹182,₹216,2 pc X 2,4.2,(542),BUNDLE
1756118046-18,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,"ADD₹72₹84SAVE₹12250 g X 2Spinach - Cleaned, without roots Combo4.3(428)",https://www.zeptonow.com/pn/spinach-cleaned-without-roots-combo/pvid/092c3466-99f1-4bc8-941d-eee7820a663e,"Spinach - Cleaned, without roots Combo",₹72,₹84,250 g X 2,4.3,(428),No
1756118048-19,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹135₹159SAVE₹241 pc X 3Coconut Kalash Combo4.2(886),https://www.zeptonow.com/pn/coconut-kalash-combo/pvid/5122d453-aee1-4f2b-8380-d11e09d62a1a,Coconut Kalash Combo,₹135,₹159,1 pc X 3,4.2,(886),BUNDLE
1756118051-20,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹110₹130SAVE₹20200 g X 2Mushroom Button Combo4.5(712),https://www.zeptonow.com/pn/mushroom-button-combo/pvid/650ecd4d-a3a2-409b-b8d8-fc01082db307,Mushroom Button Combo,₹110,₹130,200 g X 2,4.5,(712),No
1756118054-21,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹180₹214SAVE₹34200 g X 2Pineapple Slice Combo4.2(694),https://www.zeptonow.com/pn/pineapple-slice-combo/pvid/72577d6d-f285-4a6c-a12a-7e7bf170565e,Pineapple Slice Combo,₹180,₹214,200 g X 2,4.2,(694),Fruits
1756118056-22,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹75₹93SAVE₹18500 g X 3Organic Onion Combo4.3(211),https://www.zeptonow.com/pn/organic-onion-combo/pvid/22009fe4-eef8-4f75-82ae-2c274837b067,Organic Onion Combo,₹75,₹93,500 g X 3,4.3,(211),No
1756118059-23,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹174₹210SAVE₹361 pc X 3Coconut Big Combo4.6(924),https://www.zeptonow.com/pn/coconut-big-combo/pvid/2c23bfd5-b9f0-42ba-9320-1a92889889b0,Coconut Big Combo,₹174,₹210,1 pc X 3,4.6,(924),Fruits
1756118061-24,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹60₹70SAVE₹101 kgOrganic Potato Combo4.2(195),https://www.zeptonow.com/pn/organic-potato-combo/pvid/6b1db682-067a-4470-b439-ab3499ad6214,Organic Potato Combo,₹60,₹70,1 kg,4.2,(195),No
1756118064-25,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹46₹54SAVE₹8250 g X 2Organic Lady Finger Combo4.2(988),https://www.zeptonow.com/pn/organic-lady-finger-combo/pvid/4c0f2b59-e638-48e3-92a2-cc9111bd1647,Organic Lady Finger Combo,₹46,₹54,250 g X 2,4.2,(988),No
1756118066-26,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹165₹198SAVE₹33500 g X 3Tomato Local Combo4.3(924),https://www.zeptonow.com/pn/tomato-local-combo/pvid/a85da8ba-dd16-44f2-ba5f-25ebb4a47c8f,Tomato Local Combo,₹165,₹198,500 g X 3,4.3,(924),BUNDLE
1756118069-27,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹68₹80SAVE₹12250 g X 2Beans Cluster (Gawar Phali) Combo4.7(998),https://www.zeptonow.com/pn/beans-cluster-gawar-phali-combo/pvid/29fac15e-5b94-4e15-b626-623899a3d533,Beans Cluster (Gawar Phali) Combo,₹68,₹80,250 g X 2,4.7,(998),No
1756118071-28,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹114₹142SAVE₹281 kg X 2Mosambi Regular Combo4.3(960),https://www.zeptonow.com/pn/mosambi-regular-combo/pvid/23de8961-bae3-40aa-aa95-c2a98c7b0e32,Mosambi Regular Combo,₹114,₹142,1 kg X 2,4.3,(960),Fruits
1756118074-29,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹80₹94SAVE₹14250 g X 2Parwal Combo4.5(922),https://www.zeptonow.com/pn/parwal-combo/pvid/53f236ae-d01b-4027-88a4-2da5ad2022e1,Parwal Combo,₹80,₹94,250 g X 2,4.5,(922),No
1756118076-30,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹102₹120SAVE₹18500 g X 2Tomato Hybrid Combo4.6(273),https://www.zeptonow.com/pn/tomato-hybrid-combo/pvid/94212978-a017-4ec4-b619-3578abf96a79,Tomato Hybrid Combo,₹102,₹120,500 g X 2,4.6,(273),No
1756118079-31,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹138₹174SAVE₹361 kg X 3Potato Combo4.3(996),https://www.zeptonow.com/pn/potato-combo/pvid/2a5cf8e9-9297-42e9-bd47-a5aa5a46022a,Potato Combo,₹138,₹174,1 kg X 3,4.3,(996),No
1756118089-32,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹156₹195SAVE₹39200 g X 3Mushroom Button Combo4.2(902),https://www.zeptonow.com/pn/mushroom-button-combo/pvid/ec2f97f7-718b-41e1-9cd8-f65343929b56,Mushroom Button Combo,₹156,₹195,200 g X 3,4.2,(902),No
1756118096-33,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹94₹112SAVE₹18500 g X 2Ridge Gourd Combo4.7(613),https://www.zeptonow.com/pn/ridge-gourd-combo/pvid/2c7cbb8a-6bac-40a8-a87b-09aea5caff4e,Ridge Gourd Combo,₹94,₹112,500 g X 2,4.7,(613),No
1756118103-34,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹94₹108SAVE₹141 kg X 2Onion Combo4.3(710),https://www.zeptonow.com/pn/onion-combo/pvid/a7530dde-ce3e-4209-8a7c-e0ac59a40af3,Onion Combo,₹94,₹108,1 kg X 2,4.3,(710),No
1756118110-35,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹98₹116SAVE₹181 kg X 2Potato Combo4.4(190),https://www.zeptonow.com/pn/potato-combo/pvid/0bf8a08c-51f6-4ab3-b295-05b8047707a4,Potato Combo,₹98,₹116,1 kg X 2,4.4,(190),No
1756118117-36,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹132₹162SAVE₹301 kg X 3Onion Combo4.7(126),https://www.zeptonow.com/pn/onion-combo/pvid/b4bde6b2-2da0-473c-9bec-471c98736c0a,Onion Combo,₹132,₹162,1 kg X 3,4.7,(126),No
1756118124-37,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹102₹120SAVE₹18500 g X 2Sweet Potato Combo4.4(160),https://www.zeptonow.com/pn/sweet-potato-combo/pvid/e84df596-0939-4f5f-bdf8-308f6aff915c,Sweet Potato Combo,₹102,₹120,500 g X 2,4.4,(160),BUNDLE
1756118131-38,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹92₹110SAVE₹18500 g X 2Carrot Ooty Combo4.2(882),https://www.zeptonow.com/pn/carrot-ooty-combo/pvid/ce3d93d5-4b70-4368-8777-36813169b315,Carrot Ooty Combo,₹92,₹110,500 g X 2,4.2,(882),No
1756118138-39,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹98₹116SAVE₹181 pc X 2Cauliflower Combo4.7(274),https://www.zeptonow.com/pn/cauliflower-combo/pvid/5a37f2c8-444c-429e-95f7-306f05e5da03,Cauliflower Combo,₹98,₹116,1 pc X 2,4.7,(274),No
1756118145-40,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹180₹212SAVE₹322 pc X 2Kiwi Green Jumbo Premium Combo4.3(79),https://www.zeptonow.com/pn/kiwi-green-jumbo-premium-combo/pvid/c4dc59f7-c8ab-44c9-80fc-8b8cd27dbdd3,Kiwi Green Jumbo Premium Combo,₹180,₹212,2 pc X 2,4.3,(79),Yes
1756118152-41,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹42₹48SAVE₹6250 g X 2Lady Finger Combo4.4(985),https://www.zeptonow.com/pn/lady-finger-combo/pvid/8ef6119d-6990-4b72-8d1b-94420cbd7a09,Lady Finger Combo,₹42,₹48,250 g X 2,4.4,(985),No
1756118160-42,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹74₹84SAVE₹10250 g X 2Beans French Combo4.6(616),https://www.zeptonow.com/pn/beans-french-combo/pvid/2710280f-29b2-437d-8842-e8d30e7c4555,Beans French Combo,₹74,₹84,250 g X 2,4.6,(616),No
