url|title|price|currency|brand|product_code|description|sizes|colors|images|rating|reviews_count|category_breadcrumb|washing_instructions|scraped_dt|main_category|subcategory
https://www.next.co.uk/style/su572622/w23392#w23392|Love & Roses Multi Ombre Printed V-Neck Puff Sleeve Midi Dress|76|£|Next|W23-392|Gorgeous printed midi dress. Puff 3/4 sleeves and a V- neckline. Model wears UK Size 10. Wearing Length: 133cm.|['8', '10', '12', '14', '16', '18', '20', '22']||['https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/W23392s4.jpg?im=Resize,width=750', 'https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/W23392s.jpg?im=Resize,width=750', 'https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/W23392s2.jpg?im=Resize,width=750']|3.2|6|['Dresses', 'New In', 'Summer Dress', 'Occasionwear', 'Wedding Guest', 'Midi']||2025-09-11|https://www.next.co.uk/women|https://www.next.co.uk/shop/gender-women-category-dresses-0
https://www.next.co.uk/style/su624338/f35455#f35455|Chocolate Brown & White Spot Long Sleeve Midi Shirt Dress|60|£|Next|F35-455|"Regular side neck to hem 53"" / 134cm."|['']|Chocolate Brown & White Spot|['https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F35455s9.jpg?im=Resize,width=750', 'https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F35455s.jpg?im=Resize,width=750', 'https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F35455s2.jpg?im=Resize,width=750']|No product reviews have been submitted as of yet.||['Dresses', 'New In', 'Summer Dress', 'Occasionwear', 'Wedding Guest', 'Midi']|Machine washable.|2025-09-11|https://www.next.co.uk/women|https://www.next.co.uk/shop/gender-women-category-dresses-0
https://www.next.co.uk/style/su614161/f78258#f78258|Love & Roses Burgundy Red Ponte Contrast Trim Zip Front Long Sleeve Midi Dress|58|£|Next|F78-258|78% Polyester, 19% Viscose, 3% Elastane.|['8', '10', '12', '14', '16', '18', '20', '22']|Burgundy Red|['https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F78258s4.jpg?im=Resize,width=750', 'https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F78258s.jpg?im=Resize,width=750', 'https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F78258s2.jpg?im=Resize,width=750']|No product reviews have been submitted as of yet.||['Dresses', 'New In', 'Summer Dress', 'Occasionwear', 'Wedding Guest', 'Midi']||2025-09-11|https://www.next.co.uk/women|https://www.next.co.uk/shop/gender-women-category-dresses-0
https://www.next.co.uk/style/su722487/h23932#h23932|Friends Like These Red Foil Spot Short Sleeve Chiffon Tiered Maxi Dress|65|£|Next|H23-932|Our beautiful chiffon-based, short-sleeve foil printed maxi dress features short flutter sleeves, a crew neckline, a tiered hem, and maxi length; the perfect stylish and flattering piece for any occasion or event! Model size - UK 8. Wearing length - 142cm.|['8', '10', '12', '14', '16', '18', '20', '22']|Red|['https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H23932s4.jpg?im=Resize,width=750', 'https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H23932s.jpg?im=Resize,width=750', 'https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H23932s2.jpg?im=Resize,width=750']|No product reviews have been submitted as of yet.||['Dresses', 'New In', 'Summer Dress', 'Occasionwear', 'Wedding Guest', 'Midi']||2025-09-11|https://www.next.co.uk/women|https://www.next.co.uk/shop/gender-women-category-dresses-0
https://www.next.co.uk/style/su359865/e35982#e35982|Cobalt Blue Jersey Midi Summer Dress|22|£|Next|E35-982|This gorgeous cobalt blue midi-length dress is perfect for summer, featuring a comfortable cotton-blend jersey fabric with a ribbed bodice, whipstitch detailing across the square neckline and straps, finished with side pockets. Regular fit Midi-length Ribbed bodice Whipstitch detailing Cotton-blend fabric|['']|Cobalt Blue|['https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/E35982s7.jpg?im=Resize,width=750', 'https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/E35982s.jpg?im=Resize,width=750', 'https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/E35982s2.jpg?im=Resize,width=750']|4.4|144|['Dresses', 'New In', 'Summer Dress', 'Occasionwear', 'Wedding Guest', 'Midi']|Machine washable.|2025-09-11|https://www.next.co.uk/women|https://www.next.co.uk/shop/gender-women-category-dresses-0
https://www.next.co.uk/style/su670602/f77577#f77577|The Set Black/Chocolate Brown 2 Pack Long Sleeve Jersey Woven Mix Dresses|36|£|Next|F77-577|2 x Dress Main 95% Cotton, 5% Elastane. Skirt 100% Cotton.|['']||['https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F77577s3.jpg?im=Resize,width=750', 'https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F77577s.jpg?im=Resize,width=750', 'https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F77577s2.jpg?im=Resize,width=750']|No product reviews have been submitted as of yet.||['Dresses', 'New In', 'Summer Dress', 'Occasionwear', 'Wedding Guest', 'Midi']||2025-09-11|https://www.next.co.uk/women|https://www.next.co.uk/shop/gender-women-category-dresses-0
https://www.next.co.uk/style/su624338/f46094#f46094|Green & Black Geometric Print Long Sleeve Midi Shirt Dress|60|£|Next|F46-094|"Regular side neck to hem 53"" / 134cm."|['']|Green & Black Geometric Print|['https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F46094s4.jpg?im=Resize,width=750', 'https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F46094s.jpg?im=Resize,width=750', 'https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F46094s2.jpg?im=Resize,width=750']|No product reviews have been submitted as of yet.||['Dresses', 'New In', 'Summer Dress', 'Occasionwear', 'Wedding Guest', 'Midi']|Machine washable.|2025-09-11|https://www.next.co.uk/women|https://www.next.co.uk/shop/gender-women-category-dresses-0
https://www.next.co.uk/style/su169576/185342#185342|Black Twist Short Sleeved T-Shirt Summer Dress|24|£|Next|185-342|This casual black t-shirt dress is crafted from breathable cotton, featuring a crewneck collar, twist detail to the waist and a midi-length. Perfect as a holiday cover-up or for everyday wear. Crewneck collar 100% cotton Short sleeves Twisted waist detail Midi length|['']|Black|['https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/185342s4.jpg?im=Resize,width=750', 'https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/185342s.jpg?im=Resize,width=750', 'https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/185342s2.jpg?im=Resize,width=750']|4.3|322|['Dresses', 'New In', 'Summer Dress', 'Occasionwear', 'Wedding Guest', 'Midi']|Machine washable.|2025-09-11|https://www.next.co.uk/women|https://www.next.co.uk/shop/gender-women-category-dresses-0
https://www.next.co.uk/style/su672873/f81134#f81134|Love & Roses Forest Green Scallop Knitted Midi Dress|62|£|Next|F81-134|Main 50% Viscose, 27% Nylon, 23% Polyester. Skirt 67% Viscose, 33% Polyester.|['8', '10', '12', '14', '16', '18', '20', '22']||['https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F81134s4.jpg?im=Resize,width=750', 'https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F81134s.jpg?im=Resize,width=750', 'https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F81134s2.jpg?im=Resize,width=750']|No product reviews have been submitted as of yet.||['Dresses', 'New In', 'Summer Dress', 'Occasionwear', 'Wedding Guest', 'Midi']||2025-09-11|https://www.next.co.uk/women|https://www.next.co.uk/shop/gender-women-category-dresses-0
https://www.next.co.uk/style/su464251/f63248#f63248|Love & Roses Cherry Red Pleated Midi Dress|66|£|Next|F63-248|A long sleeve pleated midi dress featuring a belted waist, model wears size 10. Midi length, tie waist, pleated.|['8', '10', '12', '14', '16', '18', '20', '22']|Cherry Red|['https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F63248s4.jpg?im=Resize,width=750', 'https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F63248s.jpg?im=Resize,width=750', 'https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F63248s2.jpg?im=Resize,width=750']|No product reviews have been submitted as of yet.||['Dresses', 'New In', 'Summer Dress', 'Occasionwear', 'Wedding Guest', 'Midi']||2025-09-11|https://www.next.co.uk/women|https://www.next.co.uk/shop/gender-women-category-dresses-0
