Handmade|Warning|age_of_the_product|age_recommendations|alchol_by_volume|allergens|barcode|beer_deg|brand|brand_type|breadcrumb|care_instructions|chilled|color|competitor_name|competitor_product_key|cooking_part|country_of_origin|currency|dietary_lifestyle|dimensions|distributor_address|dosage_recommendation|drained_weight|environmental|extraction_date|features|feeding_recommendation|file_name_1|file_name_2|file_name_3|file_name_4|file_name_5|file_name_6|fit_guide|flavour|food_preservation|frozen|grade|grammage_quantity|grammage_unit|grape_variety|heel_height|heel_type|image_url_1|image_url_2|image_url_3|image_url_4|image_url_5|image_url_6|importer_address|ingredients|instock|instructionforuse|instructions|label_information|labelling|manufacturer_address|material|material_composition|max_heating_temperature|model_number|multi_buy_item_count|multi_buy_items_price_total|multibuy_items_pricesingle|netcontent|netweight|nutritional_information|nutritions|occasion|organictype|package_sizeof_selling|packaging|pdp_url|per_unit_sizedescription|percentage_discount|perfect_match|preparationinstructions|price_per_unit|price_valid_from|price_was|processed_food|product_description|product_name|product_unique_key|producthierarchy_level1|producthierarchy_level2|producthierarchy_level3|producthierarchy_level4|producthierarchy_level5|producthierarchy_level6|producthierarchy_level7|promo_limit|promotion_description|promotion_price|promotion_type|promotion_valid_from|promotion_valid_upto|random_weight_flag|rating|receipies|recycling_information|region|regular_price|retail_limit|return_address|review|selling_price|servings_per_pack|site_shown_uom|size|special_information|special_nutrition_purpose|standard_drinks|storage_instructions|store_addressid|store_addressline1|store_addressline2|store_name|store_postcode|store_state|store_suburb|style|suitable_for|tasting_note|unique_id|upc|usp|variants|vinification_details|vitamins|warranty
||||||||PREMIERE||Hund > Hundefutter > Snacks > PREMIERE Pure Meaties XXL Mix 4x250g||||fressnapf||||€|||||||2025-09-30||Zusätzlich als Belohnung zwischen den täglichen Mahlzeiten. Bitte immer ausreichend Wasser bereitstellen.|1014537_1.PNG|||||||||||4*250|g||||https://media.os.fressnapf.com/products-v2/9/c/f/6/9cf6246f8c907153143d6badf864e934349d35ec_1014537_0.PNG|||||||Analytische Bestandteile Premiere Best Pure Meaties Snack Huhn 30 Stück: Protein 58%, Fettgehalt 2 %, Rohasche 5 %, Rohfaser 4,3%   Premiere Best Pure Meaties Snack Ente 30 Stück: Protein 58,8%, Fettgehalt 1,6%, Rohasche 4,3%, Rohfaser 3,8% Premiere Best Pure Meaties Snack Rind 6 Stück: Protein 60,2%, Fettgehalt 2,1%, Rohasche 4,8%, Rohfaser 3,2%   Premiere Best Pure Meaties Snack Kaninchen 6 Stück: Protein 59,1%, Fettgehalt 2,2%, Rohasche 4,5%, Rohfaser 3,8% Zusammensetzung Premiere Best Pure Meaties Snack Huhn 30 Stück: 100% Hühnerfilet, Glycerin Premiere Best Pure Meaties Snack Ente 30 Stück: 100% Entenfilet  Premiere Best Pure Meaties Snack Kaninchen 6 Stück: 100% Kaninchenfleisch, Glycerin Premiere Best Pure Meaties Snack Rind 6 Stück: 100% Rindfleisch, Glycerin  Feuchtegehalt 17-23% Zusatzstoffe pro kg -||||||||||||||||||||||https://www.fressnapf.de/p/premiere-pure-meaties-xxl-mix-4x250g-1014537/|||||17,99 €/kg||||100% Fleisch Pur,luftgetrocknet|PREMIERE Pure Meaties XXL Mix 4x250g |1014537P|home|u|n|d| |>| ||||||||||||||||17,99||||||||||||||||||1014537||||||
||||||||PREMIERE||Hund > Hundefutter > Snacks > PREMIERE Pure Meaties Huhn 250 g||||fressnapf||||€|||||||2025-09-30||Als Snack in Ergänzung zum Hauptfutter. Reduzierung der Hauptfuttermenge nach Bedarf. Nicht als alleiniges Futtermittel geeignet. Kühl und trocken lagern. Der „Oxygen Absorber“ im Beutel erhält die Frische des Produktes und ist nicht zum Verzehr geeignet. Kann Spuren anderer Zutaten enthalten.|1008305_1.PNG|||||||||||250|g||||https://media.os.fressnapf.com/products-v2/a/3/8/b/a38bf7dae5f643702c05e08235bb74a15bd9a63f_1008305_0.PNG|||||||Analytische Bestandteile Protein 60 %, Fettgehalt 2 %, Rohasche 5 %, Rohfaser 0,1 % Zusammensetzung Hühnerbrust 96,5%, Glycerin 3,5% Feuchtegehalt 17% Zusatzstoffe pro kg -||||||||||||||||||||||https://www.fressnapf.de/p/premiere-pure-meaties-huhn-250-g-1008305/|||||23,96 €/kg||||100% Huhn im Fleischanteil,kein Zusatz von Zucker,ohne Proteinersatzstoffe, Zucker und Konservierungsmittel|PREMIERE Pure Meaties Huhn 250 g |1008305P|home|u|n|d| |>| ||||||||||||||||5,99||||||||||||||||||1008305||||||
||||||||RINTI||Hund > Hundefutter > Hundenassfutter > RINTI Kennerfleisch Nassfutter Hund, Junior, Dose Huhn 12x800 g||||fressnapf||||€|||||||2025-09-30||"Ein heranwachsender Hund hat einen erhöhten Nährstoffbedarf. Füttern Sie pro Mahlzeit so viel wie Ihr Hund innerhalb von 15 Minuten mag. Die genannten Mengen dienen zur Orientierung und variieren je nach Aktivität und Rasse.,Welpen bis zu 3 Monaten = 4–5 Mahlzeiten/Tag,
Welpen bis zu 6 Monaten = 3 Mahlzeiten/Tag,
Welpen bis zu 12 Monaten = 2 Mahlzeiten/Tag,Gewicht,
des Hundes,Der tägliche Bedarf kann je nach Rasse, Aktivität und Alter des Hundes variieren. "|1099949_1.PNG|||||||||||12*800|g||||https://media.os.fressnapf.com/products-v2/7/0/a/c/70ac636b2ddfce20a2962f143be2bf5d57756720_1408298.jpg|||||||Analytische Bestandteile Rohprotein 11%, Rohfett 9%, Rohfaser 0,6%, Rohasche 2,5%, Calcium 0,33%, Phosphor 0,27%. Zusammensetzung Muskelfleisch, Huhn (12%), Lunge, Niere, Euter, Schwarten, Leber, Pansen, Mineralstoffe, Lachsöl (0,5%), Rübenfaser (0,2%) Feuchtegehalt 76% Zusatzstoffe pro kg Vitamin D3: 200 I.E., Vitamin E (all-rac-alpha-Tocopherylacetat): 40mg, Zink (als Zinkoxid): 30mg.||||||||||||||||||||||https://www.fressnapf.de/p/rinti-kennerfleisch-nassfutter-hund-junior-dose-huhn-12x800-g-1099949/|||||3,44 €/kg||||speziell für Welpen und Junghunde,mit viel purem Fleisch,für gesundes Wachstum|RINTI Kennerfleisch Nassfutter Hund, Junior, Dose Huhn 12x800 g |1099949P|home|u|n|d| |>| ||||||||||||||||32,99||||||||||||||||||1099949||||||
||||||||RINTI||Hund > Hundefutter > Snacks > RINTI Chicko Kaninchen Knabberstreifen 170 g||||fressnapf||||€|||||||2025-09-30||Zusätzlich als Belohnung zwischen den täglichen Mahlzeiten. Bitte immer ausreichend Wasser bereitstellen.|1010780_1.PNG|||||||||||170|g||||https://media.os.fressnapf.com/products-v2/a/f/8/5/af859825c51d973b905c73809a84a8b4fe5d536b_62abcf3967ab448440d8472cc5da61b89ec2d2c4.jpg|||||||Analytische Bestandteile Rohprotein	53 %, Fettgehalt	8 %, Rohfaser	0,5 %, Rohasche	5 %. Zusammensetzung 95% Kaninchenfleisch, pflanzliche Nebenerzeugnisse, Mineralstoffe. Feuchtegehalt 18%.||||||||||||||||||||||https://www.fressnapf.de/p/rinti-chicko-kaninchen-knabberstreifen-170-g-1010780/|||||32,29 €/kg||||100% Filet,Idealer Belohnungssnack,In vielen leckeren Sorten|RINTI Chicko Kaninchen Knabberstreifen 170 g |1010780P|home|u|n|d| |>| ||||||||||||||||5,49||||||||||||||||||1010780||||||
||||||||RINTI||Hund > Hundefutter > Snacks > RINTI Chicko Mini 225g Huhn||||fressnapf||||€|||||||2025-09-30|||1081568_1.PNG|||||||||||225|g||||https://media.os.fressnapf.com/products-v2/5/a/a/e/5aae415820de1871aa0134104bf07b1d50163610_8014fee58ddabfa2ef1d9b2b28cb43bac4ee3c95.jpg|||||||Analytische Bestandteile Rohprotein 52%, Fettgehalt 3%, Rohasche 4%, Rohfaser 0,5% Zusammensetzung 100% Huhn im Fleischanteil. Feuchtegehalt 27%||||||||||||||||||||||https://www.fressnapf.de/p/rinti-chicko-mini-225g-huhn-1081568/|||||23,51 €/kg||||ohne Fleischmehle,ohne Soja (pflanzliche Eiweißextrakte),bekömmlich und gut verdaulich|RINTI Chicko Mini 225g Huhn |1081568P|home|u|n|d| |>| ||||||||||||||||5,29||||||||||||||||||1081568||||||
||||||||bosch||Hund > Hundefutter > Hundetrockenfutter > bosch Maxi Junior Geflügel 15 kg||||fressnapf||||€|||||||2025-09-30|||1232604006_1.PNG|||||||||||15|kg||||https://media.os.fressnapf.com/products-v2/7/8/8/2/788255833e10a678860d09282f0aa8a0216ce583_1678ff2aa99f362106050ee7f987af2fdbabd70e.png|||||||Analytische Bestandteile Protein 24,0 %, Fettgehalt 12,0 %, Rohfaser 2,5 %, Rohasche 6,0 %, Calcium 1,2 %, Phosphor 0,90 %. Zusammensetzung Frisches Geflügel (30 %), Reis, Gerste, Geflügelfleischmehl, Mais, Rübentrockenschnitzel (entzuckert), Tierfett, Proteinhydrolysat, Fischmehl, Vollei (getrocknet), Leinsamen, Erbsen (getrocknet), Hefe (getrocknet, 0,1 % Mannanoligosaccharide, 0,06 % β-Glucane), Fischöl, Kolostrum (0,3 %), Natriumchlorid, Grünlippmuschelextrakt (0,1 %), Kaliumchlorid, Chicoree (getrocknet) Feuchtegehalt 8% Zusatzstoffe pro kg Ernährungsphysiologische Zusatzstoffe: Vitamin A 15.000 I.E., Vitamin D3 1.200 I.E., Vitamin E 150 mg, Zink (als Zinkoxid) 90 mg, Zink (als Aminosäure-Zinkchelat, Hydrat) 75 mg, Kupfer (als Kupfer-(II)-Sulfat, Pentahydrat) 10 mg, Jod (als Calciumjodat, wasserfrei) 2 mg, Selen (als Natriumselenit) 0,2 mg.||||||||||||||||||||||https://www.fressnapf.de/p/bosch-maxi-junior-gefluegel-15-kg-1232604006/|||||2,27 €/kg||||weizenfrei,eiweißreduziert,mit viel frischem Geflügel|bosch Maxi Junior Geflügel 15 kg |1232604006P|home|u|n|d| |>| ||||||||||||||||33,99||||||||||||||||||1232604006||||||
||||||||ROYAL CANIN||Hund > Hundefutter > Hundenassfutter > ROYAL CANIN Maxi Puppy 10x140g||||fressnapf||||€|||||||2025-09-30||Bei den Angaben handelt es sich um Richtlinien, der tatsächliche Bedarf Ihres Hundes hängt von verschiedenen Faktoren ab.,Füttern Sie Ihrem Hund die Tagesration aufgeteilt in zwei Mahlzeiten am Tag. Stellen Sie Ihrem Hund immer frisches Trinkwasser bereit.|1327901_1.PNG|||||||||||10*140|g||||https://media.os.fressnapf.com/products-v2/0/c/0/1/0c0156e9006a40020e2026d9a3920491caf1fe1c_1327901_0_de.jpg|||||||Analytische Bestandteile Protein 8,3 %  Fettgehalt 5 %  Rohasche 2,2 %  Rohfaser 1,45 % NFE 3,55% Zusammensetzung Fleisch und tierische Nebenerzeugnisse, pflanzliche Eiweißextrakte, Getreide, Öle und Fette, pflanzliche Nebenerzeugnisse, Mineralstoffe, Hefe, Zucker. Feuchtegehalt 79.5% Zusatzstoffe pro kg Ernährungsphysiologische Zusatzstoffe Vitamin D3 110 IE, E1 (Eisen) 5 mg, E2 (Jod) 0,35 mg, E4 (Kupfer) 2,8 mg, E5 (Mangan) 1,7 mg, E6 (Zink) 17 mg  Technologische Zusatzstoffe Klinoptilolith sedimentären Ursprungs 2 g||||||||||||||||||||||https://www.fressnapf.de/p/royal-canin-maxi-puppy-10x140g-1327901/|||||13,06 €/kg||||Unterstützt die natürlichen Abwehrkräfte,Fördert die Darmgesundheit,Speziell konzipiert für die lange Wachstumsphase großer Rassen|ROYAL CANIN Maxi Puppy 10x140g |1327901P|home|u|n|d| |>| ||||||||||||||||18,29||||||||||||||||||1327901||||||
||||||||PREMIERE||Hund > Hundefutter > Snacks > PREMIERE Fish Cubes mit Lachs 100g||||fressnapf||||€|||||||2025-09-30||als Snack in Ergänzung zum Hauptfutter. Reduzierung der Hauptfuttermenge nach Bedarf. Nicht als alleiniges Futtermittel geeignet. Der „Oxygen Absorber“ im Beutel erhält die Frische des Produktes und ist nicht zum Verzehr geeignet. Beaufsichtigung beim Fressen wird empfohlen. Immer frisches Trinkwasser bereitstellen. Kühl und trocken lagern. Kann Spuren anderer Zutaten enthalten.|1346220_1.PNG|||||||||||100|g||||https://media.os.fressnapf.com/products-v2/b/6/d/6/b6d6c93ab031501aa3f79ce9f75df7fd64cf1658_1346220_0.PNG|||||||Analytische Bestandteile Protein 30%, Fettgehalt 6,5%, Rohasche 4,5%, Rohfaser 1,5%   Angaben unterliegen den für Naturprodukte üblichen Schwankungen Zusammensetzung Lachs 71%, Lachhaut 10%, Erdnussprotein 6,5%, Maisstärke 4,8%, Glyerin 4,5%, Hühnerproteinpulver 3%, Salz 0,2% Feuchtegehalt 18% Zusatzstoffe pro kg Konservierungsmittel||||||||||||||||||||||https://www.fressnapf.de/p/premiere-fish-cubes-mit-lachs-100g-1346220/||21|||25,90 €/kg||3,29||ofengetrocknet,ohne künstliche Zusatzstoffe,81% Fisch|PREMIERE Fish Cubes mit Lachs 100g |1346220P|home|u|n|d| |>| |||0,70|||||||||3,29||||2,59||||||||||||||||||1346220||||||
||||||||PREMIERE||Hund > Hundefutter > Hundenassfutter > PREMIERE Best Meat Junior Huhn und Rind 6x400 g||||fressnapf||||€|||||||2025-09-30|||1274832_1.PNG|||||||||||6*400|g||||https://media.os.fressnapf.com/products-v2/c/9/5/f/c95ff5a32266fb793126c3ccd1189cda974f2be2_705fd200a80dbca3de53b9f4f86e1ddb89e73e87.png|||||||"PREMIERE Art.Nr.: 1274832 PREMIERE Best Meat mit 100 % Frischfleisch im Fleischanteil. PREMIERE Best Meat ist ein Alleinfuttermittel für Welpen und Junghunde, dessen hochwertige Zutaten und schonende Verarbeitung eine ausgezeichnete Verträglichkeit garantieren.   Speziell für junge Hunde im Wachstum sind viele wertvolle Mineralstoffe für starke Knochen und Zähne sowie Proteine für den Muskelaufbau enthalten.   Die hochwertigen Zutaten und eine schonende Verarbeitung können eine ausgezeichnete Verträglichkeit garantieren. Speziell für Welpen und Junghunde – die ausgewogene Rezeptur kann ein optimales Wachstum unterstützen.   Darüber hinaus ist PREMIERE Best Meat ohne Proteinersatzstoffe wie z.B. Soja, ohne künstliche Farb- und Lockstoffe, ohne künstliche Aromen und ohne Konservierungsstoffe hergestellt. Die Vorteile im Überblick:     Fleisch und tierische Bestandteile  64% gesamt    100% Frischfleisch im Fleischanteil    ohne Formfleisch und Knochenmehl    ohne Konservierungsmittel    ohne Farb- und Geschmacksstoffe    ohne Proteinersatzstoffe, wie Soja      ohne Zusatz von Zucker und Salz   *Schmeckt nicht? Mit unserer  Akzeptanzgarantie  bekommst du dein Geld zurück und suchst dir einfach ein anderes Futter aus.     Alleinfuttermittel fürWelpen und Junghunde bis 12 Monate, weitere Informationen erhalten Sie hier: info@fressnapf.com Inverkehrbringer MultiFit Tiernahrungs GmbH, Westpreußenstr. 32-38, 47809 Krefeld Herstellernummer DE 15084000213 Fütterungsempfehlung   Alter des Hundes in Monaten Alter des Hundes in Monaten Alter des Hundes in Monaten     Endgewicht des Hundes 2 3-5 6-8 9-10 11-12 2kg 185g 205-225g 225g 215g Adult 5kg 375g 415-440g 445g 430g Adult 7kg 450g 515-570g 575g 550g Adult 10kg 570g 660-745g 750g 720g Adult 15kg 740g 885-1005g 1020g 1010g 975g 20kg 895g 1095-1245g 1265g 1250g 1205g Kühl und trocken lagern. Nach dem Öffnen im Kühlschrank aufbewahren. Zimmerwarm füttern Inhaltsstoffe Analytische Bestandteile 
Protein 11,5%, Fettgehalt 6%, Rohasche 2,2%, Rohfaser 0,3%, Feuchtigkeit 78% Zusammensetzung 64% Fleisch und tierische Nebenerzeugnisse (davon 29% Rind, 19% Huhn), Reis (5%), Mineralstoffe. Anteil Muskelfleisch 18%. Feuchtegehalt 78% Zusatzstoffe pro kg Ernährungsphysiologische Zusatzstoffe: 
Vitamin A 2000 IE, Vitamin D3 200 IE, Kupfer (Kupfer(II)-sulfat, Pentahydrat) 1,5mg, Jod (Kalziumjodat, wasserfrei) 0,75mg, Zink (Zinkoxid) 20mg. Versandinformationen Lieferungen erfolgen ab einem Mindestbestellwert von 19,00 € inkl. Mehrwertsteuer nach Abzug von Rabatten. Welche Versandkosten fallen für meine Bestellung an? Wir berechnen 2,99 € bis zu einem Bestellwert von 49,00 € – unabhängig von der Anzahl der Artikel. Click & Collect ist kostenlos. Ab 49,00 € ist die Bestellung versandkostenfrei. Bei Bestellungen die ein Gesamtgewicht von 31 kg überschreiten, werden je nach Gewicht zwei oder mehrere Pakete versendet (Maximalgewicht pro Paket 31 kg). Für den erhöhten Versandaufwand berechnen wir einmalig zusätzliche Versandkosten in Höhe von 2,99 € pro Bestellung. Lieferungen sind grundsätzlich nur innerhalb Deutschlands möglich.  Die Lieferzeit beträgt 1-3 Werktage bei Bestellungen bis 16 Uhr. Wir liefern via DHL. Kundenbewertungen und -rezensionen verstehen Produktbewertungen Wie funktionieren Bewertungen in der Fressnapf-Gruppe (einschließlich Maxi Zoo)? Kundenmeinungen in Form von Produkt- und Sternebewertungen sind dienlich für alle Kunden. Sie ermöglichen mehr über das Produkt zu erfahren und helfen bei Kaufentscheidung. Jeder Kunde, der ein Produkt Online oder im Markt erworben hat, kann eine Bewertung abgeben. Wir beziehen zudem Bewertungen aus Dritt-Quellen, z.B. von Hersteller-Seiten. Die Bewertungsherkunft wird an den jeweiligen Rezension ausgewiesen. Für Fressnapf ist das Meinungsbild seiner Kunden wichtig, um Schwachstellen zu analysieren und die Produktqualität zu verbessern. Alle Bewertungen werden durch unseren Dienstleister Bazaarvoice auf Vertrauenswürdigkeit geprüft. Bewertungsinhalte, die gegen die Nutzungsbedingungen der Fressnapf-Gruppe verstoßen, werden abgelehnt. Sonst erfolgt die Veröffentlichung von positiven wie auch negativen Produktbewertungen.  Hier mehr Informationen rund um Produktbewertungen .  Weitere Informationen zur Verarbeitung Ihrer personenbezogenen Daten entnehmen Sie bitte unseren  Datenschutzhinweisen ."||||||||||||||||||||||https://www.fressnapf.de/p/premiere-best-meat-junior-huhn-und-rind-6x400-g-1274832/|||||4,13 €/kg||||100% Frischfleisch im Fleischanteil,Fleisch & tierische Bestandteile 64% gesamt,speziell für Welpen und Junghunde|PREMIERE Best Meat Junior Huhn und Rind 6x400 g |1274832P|home|u|n|d| |>| ||||||||||||||||9,90||||||||||||||||||1274832||||||
||||||||RINTI||Hund > Hundefutter > Hundenassfutter > RINTI Kennerfleisch Nassfutter Hund, Junior, Dose 12x400 g Huhn||||fressnapf||||€|||||||2025-09-30||Ein heranwachsender Hund hat einen erhöhten Nährstoffbedarf. Füttern Sie pro Mahlzeit so viel wie Ihr Hund innerhalb von 15 Minuten mag. Die genannten Mengen dienen zur Orientierung und variieren je nach Aktivität und Rasse.,Welpen bis zu 3 Monaten = 4–5 Mahlzeiten/Tag,Welpen bis zu 6 Monaten = 3 Mahlzeiten/Tag,Welpen bis zu 12 Monaten = 2 Mahlzeiten/Tag,Gewicht & Alter,des Hundes,Der tägliche Bedarf kann sich je nach Rasse, Aktivität und Alter des Hundes variieren.|1293553_1.PNG|||||||||||12*400|g||||https://media.os.fressnapf.com/products-v2/c/f/1/9/cf19f814cff8b506928e5492cf449a48144acb85_1293553_0.jpg|||||||Analytische Bestandteile Rohprotein 11,0%, Fettgehalt 9,0%, Rohfaser 0,6%, Rohasche 2,5%, Calcium 0,33%, Phosphor 0,27%. Zusammensetzung Muskelfleisch, Huhn (15%), Lunge, Euter, Schwarten, Niere, Pansen, Mineralstoffe, Lachsöl (0,5%), Rübenfaser (0,2%). Feuchtegehalt 76% Zusatzstoffe pro kg Vitamin D3: 200 I.E., Vitamin E (all-rac-alpha-Tocopherylacetat): 40mg, Zink (als Zinkoxid): 30mg.||||||||||||||||||||||https://www.fressnapf.de/p/rinti-kennerfleisch-nassfutter-hund-junior-dose-12x400-g-huhn-1293553/||22|||3,23 €/kg||19,99||Für heranwachsene Hunde,Hoher Fleischanteil: mit 70% Fleisch und Innereien ist Rinti Kennerfleisch reich an natürlichen Fleischstücken,Getreidefrei|RINTI Kennerfleisch Nassfutter Hund, Junior, Dose 12x400 g Huhn |1293553P|home|u|n|d| |>| |||4,51|||||||||19,99||||15,48||||||||||||||||||1293553||||||
