unique_id|competitor_name|store_name|store_addressline1|store_addressline2|store_suburb|store_state|store_postcode|store_addressid|extraction_date|product_name|brand|brand_type|grammage_quantity|grammage_unit|drained_weight|producthierarchy_level1|producthierarchy_level2|producthierarchy_level3|producthierarchy_level4|producthierarchy_level5|producthierarchy_level6|producthierarchy_level7|regular_price|selling_price|price_was|promotion_price|promotion_valid_from|promotion_valid_upto|promotion_type|percentage_discount|promotion_description|package_sizeof_sellingprice|per_unit_sizedescription|price_valid_from|price_per_unit|multi_buy_item_count|multi_buy_items_price_total|currency|breadcrumb|pdp_url|variants|product_description|instructions|storage_instructions|preparationinstructions|instructionforuse|country_of_origin|allergens|age_of_the_product|age_recommendations|flavour|nutritions|nutritional_information|vitamins|labelling|grade|region|packaging|receipies|processed_food|barcode|frozen|chilled|organictype|cooking_part|Handmade|max_heating_temperature|special_information|label_information|dimensions|special_nutrition_purpose|feeding_recommendation|warranty|color|model_number|material|usp|dosage_recommendation|tasting_note|food_preservation|size|rating|review|file_name_1|image_url_1|file_name_2|image_url_2|file_name_3|image_url_3|competitor_product_key|fit_guide|occasion|material_composition|style|care_instructions|heel_type|heel_height|upc|features|dietary_lifestyle|manufacturer_address|importer_address|distributor_address|vinification_details|recycling_information|return_address|alchol_by_volume|beer_deg|netcontent|netweight|site_shown_uom|ingredients|random_weight_flag|instock|promo_limit|product_unique_key|multibuy_items_pricesingle|perfect_match|servings_per_pack|Warning|suitable_for|standard_drinks|grape_variety|retail_limit
4260311985533|dm ||||||||2025-10-23|Kindersnack Pflaume Zimt Bällchen, 30 g|MOGLi||30|g||Baby & Kind|Babynahrung & Getränke|Snacks für Kinder|||||1.25|1.25||||||||||||||EUR|Baby & Kind > Babynahrung & Getränke > Snacks für Kinder|https://www.dm.at/mogli-kindersnack-pflaume-zimt-baellchen-p4260311985533.html||Winterlicher Knabbersnack Fruchtig-würzig im Geschmack Aus feinem Maisgrieß Alternativ gesüßt Die Pflaume Zimt Bällchen von MOGLi sind ein winterlicher Knabberspaß in Bio-Qualität. Die feinen Bällchen werden aus Maisgrieß hergestellt und mit dem fruchtigen Geschmack von Pflaumen sowie einer feinen Zimtnote verfeinert. Dank der alternativen Süße ist der Snack eine perfekte Wahl für eine kleine Stärkung zwischendurch. Die vegane Rezeptur macht die Knabberei zu einem Genuss für viele. Ideal für unterwegs oder als kleine Leckerei an kalten Tagen, bietet dieser Snack eine köstliche Abwechslung im Alltag von Kindern.  dm-Artikelnummer: 3103443 GTIN 4260311985533|Nicht im Liegen verzehren.|Trocken und kühl lagern, vor direkter Sonneneinstrahlung schützen. Angebrochene Packung luftdicht verschließen und zügig aufbrauchen.||||Kann Spuren enthalten von Erdnüsse und Erdnussderivate||||||||||||||||Organic|||||||||||||||||||||https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1757405081/assets/pas/images/fefff89a-7462-4c4f-ab06-253e66e676ef/mogli-kindersnack-pflaume-zimt-baellchen||https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1757405099/assets/pas/images/92716d75-e433-4517-9b31-11a94c0ddf30/mogli-kindersnack-pflaume-zimt-baellchen||||||||||||'Produkteigenschaften': 'Ohne Konservierungsstoffe, Ohne Farbstoffe, Bio', 'Geschmack': 'Süß'||MOGLi Naturkost GmbH Oberlandstraße 26 12099 Berlin info@mogli.de|||||||||||Genaue Produktbezeichnung:  Gepuffter Bio-Maissnack mit Pflaume und Zimt  Maisgrieß* 73 %, Agavenpulver* 11,6 %, Sonnenblumenöl*, Pflaumenpulver* 2,4 %, rote Bete Pulver, Zimt* aus biologischer Landwirtschaft  Bitte beachten Sie die Hinweise zu Allergenen.||||4260311985533P||||||||
4002299085023|dm ||||||||2025-10-23|Theater Blut, 10 ml|Jofrika||10|ml||Haushalt|Dekorieren & Einrichten|Herbstdeko|||||2.85|2.85||||||||||||||EUR|Haushalt > Dekorieren & Einrichten > Herbstdeko|https://www.dm.at/jofrika-theater-blut-p4002299085023.html||Limited Edition Realistische Blut- & Wund-Effekte Einfache und vielseitige Anwendung Gänsehaut garantiert Perfekt für Halloween Für einen unvergesslich schaurigen Auftritt sorgt das Theaterblut von Jofrika, das mit seiner realistisch wirkenden Farbe und Konsistenz für echt aussehende Blut- und Wund-Effekte sorgt. Ob für die nächste Halloween-Party oder eine Theateraufführung, das Kunstblut ist vielseitig einsetzbar. Dank der feinen Tubenspitze kann es präzise aufgetragen werden, um selbst detailreiche Motive mühelos auszuarbeiten. Zudem ist die Formel dermatologisch getestet und lässt sich nach dem Gruselspaß einfach mit Wasser und Seife wieder von der Haut entfernen.  dm-Artikelnummer: 1179381 GTIN 4002299085023||||||||||||||||||||||Organic|||||||||||||||||||||https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1755116255/assets/pas/images/55b1c11f-3c16-4a2b-9e14-81a6ac94bd01/jofrika-theater-blut||https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1760822160/assets/pas/images/d47f8f10-6241-4098-848b-2e9a8db40245/jofrika-theater-blut||||||||||||'Hauttyp': 'Normal', 'Grundfarbe': 'Rot'||Jofrika Cosmetics GmbH Hüttenstrasse 45, 51469 Bergisch Glabach, Deutschland produkt@partyxpeople.de|||||||||||Ingredients: Aqua, VP/VA Copolymer, Isopropyl Alcohol, CI 16035.||||4002299085023P||||||||
4002299468505|dm ||||||||2025-10-23|Nagelsticker-Set Halloween, 1 St|Jofrika||1|St||Haushalt|Dekorieren & Einrichten|Herbstdeko|||||1.95|1.95||||||||||||||EUR|Haushalt > Dekorieren & Einrichten > Herbstdeko|https://www.dm.at/jofrika-nagelsticker-set-halloween-p4002299468505.html||Limited Edition Kreative Nagelsticker Selbstklebend Mit Halloween-Motiven Beeindruckender 3D-Effekt Für einen schaurig-schönen Auftritt bis in die Fingerspitzen sorgt der Nagelsticker Halloween von Jofrika. Die selbstklebenden Fingernagel-Sticker verzaubern mit gruseligen Halloween-Motiven und einem beeindruckenden 3D-Effekt, der die Nägel zum absoluten Hingucker macht. Die Anwendung ist kinderleicht: Einfach die gewünschten Motive auswählen, auf die Nägel kleben und schon ist der Look komplett. Die Sticker sind die perfekte Ergänzung für jedes Halloween-Kostüm und verleihen den Nägeln im Handumdrehen ein kreatives und individuelles Design für die Gruselnacht.  dm-Artikelnummer: 1353839 GTIN 4002299468505||||||||||||||||||||||Organic|||||||||||||||||||||https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1756255988/assets/pas/images/c6f8deea-8a42-47cc-a34a-4c3ec004f897/jofrika-nagelsticker-set-halloween||https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1756255983/assets/pas/images/16822288-ad98-4036-bc4e-ff57203717e5/jofrika-nagelsticker-set-halloween||||||||||||||Jofrika Cosmetics GmbH Hüttenstrasse 45, 51469 Bergisch Glabach, Deutschland produkt@partyxpeople.de|||||||||||-||||4002299468505P||||||||
4002299040527|dm ||||||||2025-10-23|Tattoos Set Halloween, 1 St|Jofrika||1|St||Haushalt|Dekorieren & Einrichten|Herbstdeko|||||1.89|1.89||||||||||||||EUR|Haushalt > Dekorieren & Einrichten > Herbstdeko|https://www.dm.at/jofrika-tattoos-set-halloween-p4002299040527.html||Limited Edition Temporäre Tattoosticker Im schwarz-goldenen Halloween-Look Schaurig-schön Ideales Accessoire für Halloween Für einen unvergesslich schaurigen Auftritt zu Halloween sorgen die Tattoos von Jofrika. Die Haut-Tattoos im schwarz-goldenen Design sind einfach in der Anwendung und sorgen für einen tollen Effekt auf der Haut. Die verschiedenen Motive lassen sich leicht auf die Haut aufbringen und sind das ideale Accessoire für jedes Halloween-Kostüm. Die temporären Tattoos sind ein echter Hingucker und runden jeden Grusel-Look gekonnt ab.  dm-Artikelnummer: 1503176 GTIN 4002299040527||||||||||||||||||||||Organic|||||||||||||||||||||https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1755109040/assets/pas/images/64db8e68-6215-4d9a-92d3-4867a1044b97/jofrika-tattoos-set-halloween||||||||||||||'Hauttyp': 'Normal', 'Grundfarbe': 'Mehrfarbig'||Jofrika Cosmetics GmbH Hüttenstrasse 45, 51469 Bergisch Glabach, Deutschland|||||||||||||||4002299040527P||||||||
4002299433121|dm ||||||||2025-10-23|Halloween Tattoos, 1 St|Jofrika||1|St||Haushalt|Dekorieren & Einrichten|Herbstdeko|||||4.95|4.95||||||||||||||EUR|Haushalt > Dekorieren & Einrichten > Herbstdeko|https://www.dm.at/jofrika-halloween-tattoos-p4002299433121.html||Limited Edition: Halloween 2025 Dekorative Schmucksteinchen zum Aufkleben 5 Spinnen und 5 schwarze Steinchen Einfache Anwendung Ideal für Hexen- und Spinnenkostüme Das Jewels Spider Set von Jofrika enthält dekorative Schmucktattoos zum Aufkleben auf die Haut. Das Set besteht aus 5 Spinnen und 5 einzelnen schwarzen Schmucksteinchen, die sich perfekt als Ergänzung zu vielen Halloween-Kostümen eignen – zum Beispiel für Hexen oder Kostüme mit Spinnenmotiv. Die Anwendung ist einfach und sorgt für einen auffälligen, kreativen Look zu Halloween.  dm-Artikelnummer: 3067341 GTIN 4002299433121||||||||||||||||||||||Non-Organic|||||||||||||||||||||https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1759786967/assets/pas/images/203dbb74-8660-4200-981d-4adf3e954d5f/jofrika-halloween-tattoos||||||||||||||'Anwendungsbereich': 'Gesicht, Körper'||Party x People GmbH Huettenstrasse 47 DE-51469 Bergisch Gladbach produkt@partyxpeople.de|||||||||||||||4002299433121P||||||||
4002299996305|dm ||||||||2025-10-23|Schminkset Aqua Halloween, 24 g|Jofrika||24|g||Make-up|Teint|Foundation|||||6.95|6.95||||||||||||||EUR|Make-up > Teint > Foundation|https://www.dm.at/jofrika-schminkset-aqua-halloween-p4002299996305.html||Limited Edition Theatralisches Schminkset Für einen schaurigen Halloween-Look Wischfest nach dem Trocknen Leicht mit Wasser und Seife abwaschbar Für einen unvergesslich schaurigen Auftritt zu Halloween sorgt das Aqua Schminkset von Jofrika. Das Set beinhaltet die vier passenden Farben Schwarz, Grau, Rot sowie Weiß und einen Pinsel zum Auftragen. Die Schminke wird mit etwas Wasser angemischt und kann anschließend präzise mit dem Pinsel aufgetragen werden. Nach dem Trocknen ist die Schminke wischfest und fettet nicht. Nach dem Gruselspaß lässt sich die Schminke ganz einfach mit Wasser und Seife wieder entfernen.  dm-Artikelnummer: 1646208 GTIN 4002299996305||||||||||||||||||||||Non-Organic|||||||||||||||||||||https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1755112603/assets/pas/images/9d5e5fdf-20c9-4773-8821-90f29ea8859d/jofrika-schminkset-aqua-halloween||||||||||||||'Hauttyp': 'Normal', 'Deckkraft': 'Starke Deckkraft'||Jofrika Cosmetics GmbH Hüttenstr. 45-4751469 Bergisch GladbachDeutschland produkt@partyxpeople.de|||||||||||Ingredients: Schwarz, weiß, rot/black, white, red/noir, blanc, rouge/nero, bianco, rosso: Calcium Carbonate, Talc, Maltodextrin, Glycerin, Stearyl Alcohol, Bentonite, Acacia Senegal Gum, Polyglyceryl-3 Palmitate, Sodium Benzoate, Alumina, Magnesium Oxide, Sodium Sulfate, Sodium Chloride, [+/- CI 15850, CI 19140, CI 77499, CI 77891]. Silber/silver/argent/argento: Talc, Mica, Maltodextrin, Glycerin, CI 77891, Stearyl Alcohol, Acacia Senegal Gum, Polyglyceryl-3 Palmitate, CI 77499, Sodium Benzoate.||||4002299996305P||||||||
4002299087843|dm ||||||||2025-10-23|Geister Weiß Aqua Make-up, 16 g|Jofrika||16|g||Haushalt|Dekorieren & Einrichten||||||4.95|4.95||||||||||||||EUR|Haushalt > Dekorieren & Einrichten|https://www.dm.at/jofrika-geister-weiss-aqua-make-up-p4002299087843.html||Limited Edition Weiße Schminkfarbe für Halloween Mit Wasser verwendbar Ideal für Geister-Kostüme Hautfreundlich Hui Buh! Egal ob Schlossgespenst, Geisterbraut oder Horrorclown - das Geister Weiß Aqua Make-up schminkt Ihnen das Gruseln ins Gesicht und darf an Halloween keinesfalls fehlen. Die Farbe lässt sich kinderleicht mit Wasser anrühren und ist besonders ergiebig. Zudem verleiht sie Vampiren, Spukgestalten und Skeletten eine noble Blässe und ist die ideale Grundlage für das perfekte Halloween Make-up. Selbstverständlich ist die Farbe hautfreundlich und wurde dermatologisch getestet. Für gruselige Kostüme und eine unvergessliche Halloween-Party!  dm-Artikelnummer: 1516891 GTIN 4002299087843||In der Armbeuge auf Verträglichkeit testen. Nicht verschlucken. Nur zur äußeren Anwendung. Diese Verpackung mit allen Informationen aufbewahren. Achtung! Erstickungsgefahr - Kleinteile.||Mit Wasser anrühren, auf der Haut auftragen. Nach dem Trocknen wischfest. Mit Wasser und Seife entfernen. Hinterlässt auf manchen Textilien Flecken.||||||||||||||||||Non-Organic|||||||||||||||||||||https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1757939581/assets/pas/images/c9f0a2b2-3073-4178-8124-bf6a8673a583/jofrika-geister-weiss-aqua-make-up||https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1757939930/assets/pas/images/38d318bf-1195-4b43-a830-8edcff6167ce/jofrika-geister-weiss-aqua-make-up||https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1757939554/assets/pas/images/614e2392-c2f8-4cca-9ce3-4127218412b6/jofrika-geister-weiss-aqua-make-up||||||||||'Hauttyp': 'Normal', 'Anwendungsbereich': 'Gesicht', 'Grundfarbe': 'Weiss', 'Deckkraft': 'Starke Deckkraft', 'Wirkung': 'Styling'||Jofrika Cosmetics GmbH Hüttenstr. 47 51469 Bergisch Gladbach|||||||||||Calcium Carbonate, CI 77891, Glycerin, Maltodextrin, Stearyl Alcohol, Acacia, Senegal Gum, Polyglyceryl-3 Palmitate, CI 77492, CI 77499, Sodium Benzoate, CI 77491, Talc, Alumina, Magnesium Oxide||||4002299087843P||||||||
4002299061034|dm ||||||||2025-10-23|Color Spray Schwarz, 100 ml|Jofrika||100|ml||Haushalt|Dekorieren & Einrichten||||||3.95|3.95||||||||||||||EUR|Haushalt > Dekorieren & Einrichten|https://www.dm.at/jofrika-color-spray-schwarz-p4002299061034.html|colors :['Color Spray Schwarz', 'Color Spray Rot', 'Color Spray Weiß']|Limited Edition Farbe: Schwarz Auswaschbares Haarspray Farbintensive Leuchtkraft Geben Sie acht, vor der grusligsten Nacht! Oder werden Sie ein Teil davon mit dem Color Spray von Jofrika. Egal ob als Geist, Hexe, Vampir oder schauriger Clown, mit den auswaschbaren Haarsprays können Sie Ihrer Fantasie freien Lauf lassen. Färben Sie Ihre Haare in einem satten Schwarz für diese eine Nacht, um Ihr Kostüm noch etwas mehr Individualität zu verleihen. In diesem Sinne: Happy Halloween!  dm-Artikelnummer: 1052787 GTIN 4002299061034|Bitte aufmerksam lesen! Behälter steht unter Druck. Kann bei Erwärmung bersten. Vor Sonnenbestrahlung schützen. Nicht Temperaturen über 50°C aussetzen. Nicht durchstechen oder verbrennen, auch nicht nach Gebrauch. Nicht gegen offene Flamme oder andere Zündquelle sprühen. Vor Hitze, heißen Oberflächen, Funken, offenen Flammen sowie anderen Zündquellenarten fernhalten. Nicht rauchen. Darf nicht in die Hände von Kindern gelangen. Nicht in die Augen oder auf irrtierte Haut sprühen. Nicht einatmen. Nur kurz sprühen und nach Gebrauch gut lüften. Nicht in der Nähe von Wärmequellen oder eingeschalteten elektrischen Geräten benutzen. An einem gut belüftetem Ort aufbewahren. Nur entleerte Dosen in die Wertstoffsammlung geben.|Behälter steht unter Druck. Kann bei Erwärmung bersten. Vor Sonnenbestrahlung schützen. Nicht Temperaturen über 50°C aussetzen.  Nicht durchstechen oder verbrennen, auch nicht nach Gebrauch. Nicht gegen offene Flamme oder andere Zündquelle sprühen. Vor Hitze, heißen Oberflächen, Funken, offenen Flammen sowie anderen Zündquellenarten fernhalten. Nicht rauchen. Darf nicht in die Hände von Kindern gelangen. Nicht in die Augen oder auf irrtierte Haut sprühen. Nicht einatmen. Nur kurz sprühen und nach Gebrauch gut lüften.  Nicht in der Nähe von Wärmequellen oder eingeschalteten elektrischen Geräten benutzen. An einem gut belüftetem Ort aufbewahren.  Nur entleerte Dosen in die Wertstoffsammlung geben.||Spray nicht auf gefärbtem, chemisch behandeltem, blondem oder grauem Haar anwenden. Mit Wasser und Shampoo auswaschen. Kleidung, Umgebung sorgfältig und großflächig vor Sprühnebel, Tropfen und Flecken schützen. Nicht für Gesichtsbehaarung. Darf nicht in die Hände von Kindern gelangen.||||||||||||||||||Organic|||||||||||||||||||||https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1760995551/assets/pas/images/b529984e-b29d-4ef8-b4de-fdb08d880d0a/jofrika-color-spray-schwarz||https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1755107880/assets/pas/images/8d350d19-e44a-4c33-a052-fa12c0b26206/jofrika-color-spray-schwarz||||||||||||'Grundfarbe': 'Schwarz', 'Textur / Konsistenz / Applikation': 'Spray', 'Haartyp': 'Normales Haar'||Jofrika Cosmetics GmbH Hüttenstrasse 45, 51469 Bergisch Glabach, Deutschland|||||||||||Isobutane, Alcohol Denat., Propane, CI 77499, Polyvinylcaprolactam, Butane, Parfum, Alpha-Isomethyl Ionone||||4002299061034P||||||||
4002299471161|dm ||||||||2025-10-23|Schminkstifte mit Spitzer, 11 g|Jofrika||11|g||Haushalt|Dekorieren & Einrichten||||||5.95|5.95||||||||||||||EUR|Haushalt > Dekorieren & Einrichten|https://www.dm.at/jofrika-schminkstifte-mit-spitzer-p4002299471161.html||Limited Edition Schminkstifte für Halloween Sorgt für schaurige Halloween-Looks In hochwertiger Theaterqualität Mit enthaltenem Spitzer Hexen, Vampire und Geister aufgepasst! Die sechs Schminkstiften lassen Ihr Halloween Make-up gruselig echt wirken. Dank der Farben rot, schwarz, braun, grün, orange und weiß sind Ihrer Kreativität keine Grenzen gesetzt und verwandelt Sie in jede noch so schaurige Gestalt. Zudem ermöglicht der enthaltene Spitzer das Schminken von haargenauen Linien und sorgt für jederzeit einsatzbereite Stifte. Überdies begeistern sie mit hochwertiger Theaterqualität und sind selbstverständlich unbedenklich für die Haut. So steht der Halloween Party nichts mehr im Weg!  dm-Artikelnummer: 1648951 GTIN 4002299471161|In der Armbeuge auf Verträglichkeit testen. Nur zur äußeren Anwendung. Nicht verschlucken. Achtung! Erstickungsgefahr – Kleinteile.|||||||||||||||||||||Non-Organic|||||||||||||||||||||https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1757952780/assets/pas/images/99f50586-7eb6-4f90-86f7-74be31d0ab7e/jofrika-schminkstifte-mit-spitzer||||||||||||||'Hauttyp': 'Normal', 'Anwendungsbereich': 'Gesicht', 'Grundfarbe': 'Mehrfarbig', 'Textur / Konsistenz / Applikation': 'Stift', 'Wirkung': 'Styling'||Jofrika Cosmetics GmbH Jofrika Cosmetics GmbH|||||||||||Hydrogenated Coco-Glycerides, Paraffin, Cera Alba, Petrolatum, Ethylhexyl Stearate, Talc, Propylene Glycol, BHT, Ascorbyl Palmitate, Glyceryl Stearate, Citric Acid, Alumina, Magnesium Oxide, (+/- CI 15850, CI 15985, CI 19140, CI 77007, CI 77288, CI 77491, CI 77492, CI 77499, CI 77891)||||4002299471161P||||||||
4059729540218|dm ||||||||2025-10-23|Kajal Jewel Glide Effect 010 Black Diamond, 1,5 g|CATRICE||010|Black||Make-up|Augen Make-up|Kajal|||||3.75|3.75||||||||||||||EUR|Make-up > Augen Make-up > Kajal|https://www.dm.at/catrice-kajal-jewel-glide-effect-010-black-diamond-p4059729540218.html|colors :['Kajal Jewel Glide Effect 030 Midnight Sapphire ', 'Kajal Jewel Glide Effect 010 Black Diamond ', 'Kajal Jewel Glide Effect 050 Ruby Crystals ', 'Kajal Jewel Glide Effect 040 Golden Jade ', 'Kajal Jewel Glide Effect 020 Amber Glow']|Limited Edition Nr. 010 - Black Diamond Wasserfeste, cremige Textur Schimmerndes, metallisches Finish Müheloses und präzises Auftragen Der CATRICE Kajal Jewel Glide Effect in der Farbvariante 010 Black Diamond überzeugt mit einem hypnotisierenden Mitternachtsschwarz und einer glitzernden Textur, die an funkelnde Juwelen erinnert. Seine cremige, wasserfeste Formel gleitet sanft über die Haut und ermöglicht eine einfache Anwendung. Ob präzise Konturen oder weich verblendete Akzente – dieser Kajalstift verleiht jedem Augen-Make-up das gewisse Etwas. Das schimmernde Finish sorgt für strahlende Augenblicke, die jeden Look zum Highlight machen.  dm-Artikelnummer: 3102277 GTIN 4059729540218||Kühl und trocken lagern.||Trage den Stift auf das obere Lid oder entlang des unteren Wimpernkranzes auf, um deinen Augen mehr Ausdruck und einen Hauch Glanz zu verleihen. Für ein weiches, verblendetes Ergebnis kannst du die integrierte Schwammspitze verwenden, um die Textur sanft zu verblenden – ideal für einen schimmernden Lidschatten-Look.|Made in China|||||||||||||||||Non-Organic|||||||||||||||||||||https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1760392972/assets/pas/images/cf6adc7c-c451-4502-9928-875b5f0eb721/catrice-kajal-jewel-glide-effect-010-black-diamond||https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1760392967/assets/pas/images/a91af217-f96c-4b62-8992-93e9536f5e6c/catrice-kajal-jewel-glide-effect-010-black-diamond||https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1758629116/assets/pas/images/b42168e1-cb06-42b6-8070-2856dc5c5b4c/catrice-kajal-jewel-glide-effect-010-black-diamond||||||||||'Hauttyp': 'Normal', 'Produkteigenschaften': 'Wasserfest', 'Anwendungsbereich': 'Gesicht', 'Grundfarbe': 'Schwarz', 'Effekt': 'Langanhaltend, Schimmernd / Glänzend', 'Textur / Konsistenz / Applikation': 'Stift', 'Deckkraft': 'Volle Deckkraft', 'Wirkung': 'Styling'||cosnova Frankfurt (D-65843) service@cosnova.eu|||||||||||INGREDIENTS: TRIMETHYLSILOXYSILICATE, DIMETHICONE, ISODODECANE, SYNTHETIC WAX, CERA MICROCRISTALLINA (MICROCRYSTALLINE WAX), SYNTHETIC FLUORPHLOGOPITE, DIISOSTEARYL MALATE, SORBITAN ISOSTEARATE, SILICA DIMETHYL SILYLATE, TIN OXIDE, CI 77499 (IRON OXIDES), CI 77891 (TITANIUM DIOXIDE).||||4059729540218P||||||||
