url,title,price,agency_name,agency_contact_number,governorate,area,property_type,property_size,rate_per_sqft,rooms,bathrooms,roads,parking,built_up_area,classification
https://baity.bh/properties/land-in-buri-29026,Land in Buri,109790.65,Taiba Real Estate,17610600,Northern,Buri,PLOT,392.3,26,,,,,,
https://baity.bh/properties/land-in-askar-28239,Land in Askar,51100,Bareeq,97333553373,Southern,Askar,PLOT,215.64,25,,,,,,
https://baity.bh/properties/villa-in-arad-42302,Villa in Arad,310000,Janabiya Gate Real Estate,38302990,Muharraq,Arad,VILLA,690,41.7,6,8,1,2,712,RA
https://baity.bh/properties/land-in-bu-quwah-41996,Land in Bu Quwah,141094,Janabiya Gate Real Estate,38302990,Northern,Bu Quwah,PLOT,452,29,,,1,,,RA
https://baity.bh/properties/land-in-askar-28279,Land in Askar,106500,Bareeq,97333553373,Southern,Askar,PLOT,449.72,21,,,,,,
https://baity.bh/properties/land-in-buri-28896,Land in Buri,98036.36,Taiba Real Estate,17610600,Northern,Buri,PLOT,350.3,26,,,,,,
https://baity.bh/properties/land-in-buri-29021,Land in Buri,101786.54,Taiba Real Estate,17610600,Northern,Buri,PLOT,363.7,26,,,,,,
https://baity.bh/properties/land-in-askar-28264,Land in Askar,51100,Bareeq,97333553373,Southern,Askar,PLOT,215.64,25,,,,,,
https://baity.bh/properties/land-in-askar-38586,Land in Askar,82500,Esnad Management,17341117,Southern,Askar,PLOT,348.6,22,,,1,,,RA
https://baity.bh/properties/apartment-in-al-juffair-41568,Apartment in Al Juffair,35000,House Me,38777992,Capital,Al Juffair,APARTMENT,83,39.2,1,2,,1,,
https://baity.bh/properties/land-in-askar-28363,Land in Askar,81900,Bareeq,97333553373,Southern,Askar,PLOT,323.5,25,,,,,,
https://baity.bh/properties/land-in-buri-28911,Land in Buri,109683.01,Taiba Real Estate,17610600,Northern,Buri,PLOT,377.4,27,,,,,,
https://baity.bh/properties/land-in-buri-29000,Land in Buri,81216.53,Taiba Real Estate,17610600,Northern,Buri,PLOT,290.2,26,,,,,,
