unique_id|competitor_name|store_name|store_addressline1|store_addressline2|store_suburb|store_state|store_postcode|store_addressid|extraction_date|product_name|brand|brand_type|grammage_quantity|grammage_unit|drained_weight|producthierarchy_level1|producthierarchy_level2|producthierarchy_level3|producthierarchy_level4|producthierarchy_level5|producthierarchy_level6|producthierarchy_level7|regular_price|selling_price|price_was|promotion_price|promotion_valid_from|promotion_valid_upto|promotion_type|percentage_discount|promotion_description|package_sizeof_sellingprice|per_unit_sizedescription|price_valid_from|price_per_unit|multi_buy_item_count|multi_buy_items_price_total|currency|breadcrumb|pdp_url|variants|product_description|instructions|storage_instructions|preparationinstructions|instructionforuse|country_of_origin|allergens|age_of_the_product|age_recommendations|flavour|nutritions|nutritional_information|vitamins|labelling|grade|region|packaging|receipies|processed_food|barcode|frozen|chilled|organictype|cooking_part|Handmade|max_heating_temperature|special_information|label_information|dimensions|special_nutrition_purpose|feeding_recommendation|warranty|color|model_number|material|usp|dosage_recommendation|tasting_note|food_preservation|size|rating|review|file_name_1|image_url_1|file_name_2|image_url_2|file_name_3|image_url_3|competitor_product_key|fit_guide|occasion|material_composition|style|care_instructions|heel_type|heel_height|upc|features|dietary_lifestyle|manufacturer_address|importer_address|distributor_address|vinification_details|recycling_information|return_address|alchol_by_volume|beer_deg|netcontent|netweight|site_shown_uom|ingredients|random_weight_flag|instock|promo_limit|product_unique_key|multibuy_items_pricesingle|perfect_match|servings_per_pack|Warning|suitable_for|standard_drinks|grape_variety|retail_limit
590033333|Jiomart||||||||2025-11-06|Kurkure Masala Munch Combo Pack 197 g (Pack of 3)|Kurkure||3|N||Category|Groceries|Biscuits, Drinks & Packaged Foods|Chips & Namkeens|Namkeen & Savoury Snacks|||54.00|45.00|54.00|45.00||||16.0|16.0% OFF|||||||INR|Category > Groceries > Biscuits, Drinks & Packaged Foods > Chips & Namkeens > Namkeen & Savoury Snacks|https://www.jiomart.com/p/groceries/kurkure-combo-pack-99-g-pack-of-3/590033333||Kurkure brand belongs to the house of Pepsico and since 1999 have introduced many varieties of popular and crunchy snacks. Kurkure Masala Munch Combo Pack is crunchy and crispy snack. What makes it tasty and flavourful is the right ingredients mixed with the right blend of aromatic spices. Every bite brings you a burst of flavours that keeps you wanting for more. Buy this product online today! Disclaimer: Despite our attempts to provide you with the most accurate information possible, the actual packaging, ingredients and colour of the product may sometimes vary. Please read the label, directions and warnings carefully before use.||Normal Warehouse Temperature||Available on the image|India|Available on the Image||||Available on the Image|Available on the Image|||||||||||||||Namkeen & Savoury Snacks||||||||||||||3.6|16883.0||https://www.jiomart.com/images/product/original/490709191/kurkure-masala-munch-combo-pack-197-g-pack-of-3-product-images-o490709191-p590033333-0-202410151136.jpg?im=Resize=(150,150)||https://www.jiomart.com/images/product/original/490709191/kurkure-masala-munch-combo-pack-197-g-pack-of-3-product-images-o490709191-p590033333-1-202410151136.jpg?im=Resize=(150,150)||https://www.jiomart.com/images/product/original/490709191/kurkure-masala-munch-combo-pack-197-g-pack-of-3-product-images-o490709191-p590033333-2-202410151136.jpg?im=Resize=(150,150)||||||||||Brand: Kurkure, Manufacturer: Pepsico India Ltd., Manufacturer Address: Pepsico India Holdings Pvt. Ltd., Manufacturer Email: https://contact.pepsico.com/pepsicoin, Manufacturer Website: https://www.fritolay.com/, Sold By: Reliance Retail, JioMart Customer Care Phone: 1800 890 1222, Included Components: Kurkure Masala Munch Combo Pack 197 g (Pack of 3), Country of Origin: India, Product Type: Namkeen & Savoury Snacks, How To Use: Available on the image, Storage Category: Normal storage, Storage Temperature Limit (in Degree Celsius): Normal Warehouse Temperature, Food Preference: Veg, Ingredients: Available on the Image, Nutrient Content: Available on the Image, FSSAI Number: 10014064000435, Additives: Available on the image, Dietary Preference: Available on the Image, Allergens Included: Available on the Image, Net Quantity: 3 N, Nutrition: Available on the image, Net Weight: 197 g|Available on the Image|Pepsico India Holdings Pvt. Ltd.||Reliance Retail||||||||3 N|Available on the Image||True||590033333P||||||||
490007673|Jiomart||||||||2025-11-06|Haldiram's Nagpur Bhujia Sev 400 g|Haldiram's Nagpur||400|g||Category|Groceries|Biscuits, Drinks & Packaged Foods|Chips & Namkeens|Namkeen & Savoury Snacks|||114.00|88.00|114.00|88.00||||22.0|22.0% OFF|||||||INR|Category > Groceries > Biscuits, Drinks & Packaged Foods > Chips & Namkeens > Namkeen & Savoury Snacks|https://www.jiomart.com/p/groceries/haldiram-s-nagpur-bhujia-sev-350-g/490007673||Haldiram's Nagpur Bhujia Sev is a traditional and popular Indian snack made from gram flour and a blend of authentic spices. This crunchy and savory treat is a go-to choice for any occasion, whether as a teatime companion, a topping for chaats, or a standalone snack. It is known for its signature flavor and crisp texture. So, what are you waiting for? Go ahead and buy this product online today! Disclaimer: Despite our attempts to provide you with the most accurate information possible, the actual packaging, material, ingredients and colour of the product may sometimes vary. Please read the label, directions, and warnings carefully before use.||Normal Warehouse Temperature||Available on the Image|India|Available on the Image||||Available on the Image|Available on the Image|||||||||||||||Namkeen & Savoury Snacks||||||||||||||3.7|6165.0||https://www.jiomart.com/images/product/original/490007673/haldiram-s-nagpur-bhujia-sev-400-g-product-images-o490007673-p490007673-0-202501241901.jpg?im=Resize=(150,150)||https://www.jiomart.com/images/product/original/490007673/haldiram-s-nagpur-bhujia-sev-400-g-product-images-o490007673-p490007673-1-202501241901.jpg?im=Resize=(150,150)||https://www.jiomart.com/images/product/original/490007673/haldiram-s-nagpur-bhujia-sev-400-g-product-images-o490007673-p490007673-2-202501241901.jpg?im=Resize=(150,150)||||||||||Brand: Haldiram's Nagpur, Manufacturer: Haldiram Foods International Ltd., Manufacturer Address: Haldiram Foods International Pvt. Ltd., Sold By: Reliance Retail, JioMart Customer Care Phone: 1800 890 1222, Included Components: Bhujia Sev 400 g, Country of Origin: India, How To Use: Available on the Image, Storage Category: Normal storage, Storage Temperature Limit (in Degree Celsius): Normal Warehouse Temperature, Ingredients: Available on the Image, Nutrient Content: Available on the Image, Additives: Available on the Image, Dietary Preference: Available on the Image, Allergens Included: Available on the Image, Net Quantity: 400 g, Product Type: Namkeen & Savoury Snacks, Height: 230 mm, Length: 168 mm, Width: 58 mm|Available on the Image|Haldiram Foods International Pvt. Ltd.||Reliance Retail||||||||400 g|Available on the Image||True||490007673P||||||||
590770826|Jiomart||||||||2025-11-06|Beyond Snacks Original Style Kerala Banana Chips 70 g|Beyond Snáck||70|g||Category|Groceries|Biscuits, Drinks & Packaged Foods|Chips & Namkeens|Chips & Corn Snacks|||60.00|42.00|60.00|42.00||||30.0|30.0% OFF|||||||INR|Category > Groceries > Biscuits, Drinks & Packaged Foods > Chips & Namkeens > Chips & Corn Snacks|https://www.jiomart.com/p/groceries/beyond-snacks-kerala-banana-chips-85-g/590770826||Beyond Snacks Original Style Kerala Banana Chips are thin slices of banana. These crispy, salty and sweet chips have originated from Kerala and are enjoyed by all age groups. Besides being an anytime snack, they are also enjoyed during festivals and other celebrations. Buy this product online today. Disclaimer: Despite our attempts to provide you with the most accurate information possible, the actual packaging, ingredients and colour of the product may sometimes vary. Please read the label, directions and warnings carefully before use.||Normal Warehouse Temperature||Available on the Image|India|Available on the Image||||Available on the Image|Available on the Image|||||||||||||||Chips & Corn Snacks||||||||||||||3.6|9846.0||https://www.jiomart.com/images/product/original/492391097/beyond-snacks-original-style-kerala-banana-chips-70-g-product-images-o492391097-p590770826-0-202506051219.jpg?im=Resize=(150,150)||https://www.jiomart.com/images/product/original/492391097/beyond-snacks-original-style-kerala-banana-chips-70-g-product-images-o492391097-p590770826-1-202506051219.jpg?im=Resize=(150,150)||https://www.jiomart.com/images/product/original/492391097/beyond-snacks-original-style-kerala-banana-chips-85-g-legal-images-o492391097-p590770826-2-202301171640.jpg?im=Resize=(150,150)||||||||||Brand: BEYOND SNACK, Manufacturer: Dr Jackfruit India Pvt. Ltd., Manufacturer Address: Dr Jackfruit India Pvt LTd, Manufacturer Email: crc@drjackfruit.com, Manufacturer Website: www.keralabananachips.in, Sold By: Reliance Retail, JioMart Customer Care Phone: 1800 890 1222, Included Components: Beyond Snacks Original Style Kerala Banana Chips 70 g, Country of Origin: India, Product Type: Chips & Corn Snacks, How To Use: Available on the Image, Storage Category: Normal storage, Storage Temperature Limit (in Degree Celsius): Normal Warehouse Temperature, Ingredients: Available on the Image, Nutrient Content: Available on the Image, FSSAI Number: 10021041000052, Additives: Available on the Image, Dietary Preference: Available on the Image, Allergens Included: Available on the Image, Country Of Origin: India, Net Quantity: 70 g, Height: 190 mm, Length: 46 mm, Width: 120 mm|Available on the Image|Dr Jackfruit India Pvt LTd||Reliance Retail||||||||70 g|Available on the Image||True||590770826P||||||||
491551830|Jiomart||||||||2025-11-06|Bingo Mad Angles Very Peri Peri Chips 117 g|Bingo||1|N||Category|Groceries|Biscuits, Drinks & Packaged Foods|Chips & Namkeens|Chips & Corn Snacks|||50.00|33.00|50.00|33.00||||34.0|34.0% OFF|||||||INR|Category > Groceries > Biscuits, Drinks & Packaged Foods > Chips & Namkeens > Chips & Corn Snacks|https://www.jiomart.com/p/groceries/bingo-peri-peri-mad-angles-200-g/491551830||Spice up your day with the yummy and crunchy Bingo! Mad Angles Very Peri Peri. Keep the tissue box handy and an excuse ready, as these spicy chips will make your mouth and your eyes water. Bingo! Mad Angles brings together the best of both worlds, a contemporary Indian snack with an international taste that’s loved by everyone.These crunchy peri peri chips are crispy and perfectly triangular. Bingo! Mad Angles chips are made with corn, rice, and grams. The fiery Peri Peri chillies are added to the chips, which sets your senses on fire with every crunchy bite.Just open the Bingo! chips packet whenever you are in the mood to spice things up. Whether you’re listening to your professor drone on, waiting for your phone to update or waiting for your local train. A bag of Bingo! Mad Angles Very Peri Peri will always bring the spicy madness you crave.And if you are craving for a different flavour, Bingo! Mad Angles are available in awesome flavours like Achaari Masti, Chaat Masti, Masala, Tomato Madness and Pizza! Disclaimer: Despite our attempts to provide you with the most accurate information possible, the actual packaging, ingredients and colour of the product may sometimes vary. Please read the label, directions and warnings carefully before use.||Normal Warehouse Temperature||Available on the Image|India|Available on the Image||||Available on the Image|Available on the Image|||||||||||||||Chips & Corn Snacks||||||||||||||3.6|22179.0||https://www.jiomart.com/images/product/original/491551830/bingo-peri-peri-mad-angles-130-g-product-images-o491551830-p491551830-0-202409301839.jpg?im=Resize=(150,150)||https://www.jiomart.com/images/product/original/491551830/bingo-mad-angles-very-peri-peri-chips-117-g-product-images-o491551830-p491551830-1-202509121936.jpg?im=Resize=(150,150)||https://www.jiomart.com/images/product/original/491551830/bingo-peri-peri-mad-angles-130-g-product-images-o491551830-p491551830-2-202409301839.jpg?im=Resize=(150,150)||||||||||Brand: Bingo, Manufacturer: ITC Ltd., Manufacturer Address: Itc Limited, Manufacturer Email: itccares@itc.in, Manufacturer Website: www.aashirvaad.com, Sold By: Reliance Retail, JioMart Customer Care Phone: 1800 890 1222, Included Components: Peri Peri Chips 117 g, Country of Origin: India, Product Type: Chips & Corn Snacks, How To Use: Available on the Image, Storage Category: Normal storage, Storage Temperature Limit (in Degree Celsius): Normal Warehouse Temperature, Ingredients: Available on the Image, Nutrient Content: Available on the Image, Food Preference: Veg, FSSAI Number: Available on the Image, Additives: Available on the image, Dietary Preference: Available on the Image, Allergens Included: Available on the Image, Net Quantity: 1 N, Height: 254 mm, Length: 54 mm, Width: 184 mm, Net Weight: 130 g|Available on the Image|Itc Limited||Reliance Retail||||||||1 N|Available on the Image||True||491551830P||||||||
491551666|Jiomart||||||||2025-11-06|Snactac Tasty Peanuts 150 g|Snactac||150|g||Category|Groceries|Biscuits, Drinks & Packaged Foods|Chips & Namkeens|Namkeen & Savoury Snacks|||72.00|36.00|72.00|36.00||||50.0|50.0% OFF|||||||INR|Category > Groceries > Biscuits, Drinks & Packaged Foods > Chips & Namkeens > Namkeen & Savoury Snacks|https://www.jiomart.com/p/groceries/snactac-tasty-peanuts-150-g/491551666||Snactac Tasty Peanuts is the perfect option if you are craving a tasty, between-meals snack. Enjoy it with your tea or coffee or as a standalone treat. Your family and friends are sure going to ask for more. So go ahead, buy this product online today! Disclaimer: Despite our attempts to provide you with the most accurate information possible, the actual packaging, ingredients and colour of the product may sometimes vary. Please read the label, directions and warnings carefully before use.||Normal Warehouse Temperature||Available on the image|India|Available on the Image||||Available on the image|Available on the image|||||||||||||||Namkeen & Savoury Snacks||||||||||||||3.6|19123.0||https://www.jiomart.com/images/product/original/491551666/snactac-tasty-peanuts-150-g-product-images-o491551666-p491551666-0-202208191837.jpg?im=Resize=(150,150)||https://www.jiomart.com/images/product/original/491551666/snactac-tasty-peanuts-150-g-product-images-o491551666-p491551666-1-202208191837.jpg?im=Resize=(150,150)||https://www.jiomart.com/images/product/original/491551666/snactac-tasty-peanuts-150-g-legal-images-o491551666-p491551666-2-202208191837.jpg?im=Resize=(150,150)||||||||||Brand: Snactac, Manufacturer: Private Label, Manufacturer Address: Sunshine Food Products, Sold By: Reliance Retail, JioMart Customer Care Phone: 1800 890 1222, Included Components: Snactac Tasty Peanuts 150 g, Country of Origin: India, Product Type: Namkeen & Savoury Snacks, How To Use: Available on the image, Storage Category: Normal storage, Storage Temperature Limit (in Degree Celsius): Normal Warehouse Temperature, Food Preference: Veg, Ingredients: Available on the Image, Nutrient Content: Available on the image, FSSAI Number: 10012013000353, Additives: Available on the image, Dietary Preference: NA, Allergens Included: Available on the Image, Net Quantity: 150 g, Nutrition: Available on the image, Height: 192 mm, Length: 45 mm, Width: 155 mm|NA|Sunshine Food Products||Reliance Retail||||||||150 g|Available on the Image||True||491551666P||||||||
609502290|Jiomart||||||||2025-11-06|Pitaara Bikaneri Bhujia 900 g|Pitaara||900|g||Category|Groceries|Biscuits, Drinks & Packaged Foods|Chips & Namkeens|Namkeen & Savoury Snacks|||330.00|165.00|330.00|165.00||||50.0|50.0% OFF|||||||INR|Category > Groceries > Biscuits, Drinks & Packaged Foods > Chips & Namkeens > Namkeen & Savoury Snacks|https://www.jiomart.com/p/groceries/pitaara-bikaneri-bhujia-900-g/609502290||Pitaara Bikaneri Bhujia 900 g is a delicious snack suitable for people of all ages. It can be eaten plain or added with other snacks as mixtures to further enhance the taste. It is best enjoyed with hot beverages like tea and coffee. So what are you waiting for? Go ahead and buy this product online today! Disclaimer: Despite our attempts to provide you with the most accurate information possible, the actual packaging, ingredients and colour of the product may sometimes vary. Please read the label, directions, and warnings carefully before use.||Normal Warehouse Temperature||Available on the Image|India|Available on the Image||||Available on the Image|Available on the Image|||||||||||||||Namkeen & Savoury Snacks||||||||||||||3.7|2100.0||https://www.jiomart.com/images/product/original/493828603/pitaara-bikaneri-bhujia-900-g-product-images-o493828603-p609502290-0-202407131808.jpg?im=Resize=(150,150)||https://www.jiomart.com/images/product/original/493828603/pitaara-bikaneri-bhujia-900-g-product-images-o493828603-p609502290-1-202407131808.jpg?im=Resize=(150,150)||https://www.jiomart.com/images/product/original/493828603/pitaara-bikaneri-bhujia-900-g-legal-images-o493828603-p609502290-2-202407131808.jpg?im=Resize=(150,150)||||||||||Brand: Pitaara, Manufacturer: Desai Brothers Limited, Manufacturer Address: Desai Brothers Limited, Sold By: Reliance Retail, JioMart Customer Care Phone: 1800 890 1222, Included Components: Pitaara Bikaneri Bhujia 900 g, Country of Origin: India, Product Type: Namkeen & Savoury Snacks, How To Use: Available on the Image, Storage Category: Normal storage, Storage Temperature Limit (in Degree Celsius): Normal Warehouse Temperature, Ingredients: Available on the Image, Nutrient Content: Available on the Image, Additives: Available on the Image, Dietary Preference: Available on the Image, Allergens Included: Available on the Image, Net Quantity: 900 g, Nutrition: Available on the image, Height: 900 mm, Length: 630 mm, Width: 135 mm|Available on the Image|Desai Brothers Limited||Reliance Retail||||||||900 g|Available on the Image||True||609502290P||||||||
490007672|Jiomart||||||||2025-11-06|Haldiram's Nagpur Aloo Bhujia 400 g|Haldiram's Nagpur||400|g||Category|Groceries|Biscuits, Drinks & Packaged Foods|Chips & Namkeens|Namkeen & Savoury Snacks|||95.00|75.00|95.00|75.00||||21.0|21.0% OFF|||||||INR|Category > Groceries > Biscuits, Drinks & Packaged Foods > Chips & Namkeens > Namkeen & Savoury Snacks|https://www.jiomart.com/p/groceries/haldiram-s-nagpur-aloo-bhujia-350-g/490007672||Haldiram’s is an Indian food company manufacturing a variety of traditional and western sweets, snacks, namkeens, etc. Haldiram's Nagpur Aloo Bhujia is a crunchy, tasty and flavourful snack that brings you an authentic taste originated from Bikaner. Comes from the perfection of making Bhujia using quality ingredients. The crispy texture and combination of spices gives you a great taste. Buy this product online today! Disclaimer: Despite our attempts to provide you with the most accurate information possible, the actual packaging, ingredients and colour of the product may sometimes vary. Please read the label, directions and warnings carefully before use.||Normal Warehouse Temperature||Available on the image|India|Available on the Image||||Available on the image|Available on the image|||||||||||||||Namkeen & Savoury Snacks||||||||||||||3.6|8553.0||https://www.jiomart.com/images/product/original/490007672/haldiram-s-nagpur-aloo-bhujia-350-g-product-images-o490007672-p490007672-0-202510272012.jpg?im=Resize=(150,150)||https://www.jiomart.com/images/product/original/490007672/haldiram-s-nagpur-aloo-bhujia-350-g-product-images-o490007672-p490007672-1-202510272012.jpg?im=Resize=(150,150)||https://www.jiomart.com/images/product/original/490007672/haldiram-s-nagpur-aloo-bhujia-350-g-legal-images-o490007672-p490007672-2-202510272012.jpg?im=Resize=(150,150)||||||||||Brand: Haldiram's Nagpur, Manufacturer: Haldiram Foods International Ltd., Manufacturer Address: Haldiram Foods International Pvt. Ltd., Sold By: Reliance Retail, JioMart Customer Care Phone: 1800 890 1222, Country of Origin: India, Product Type: Namkeen & Savoury Snacks, How To Use: Available on the image, Storage Category: Normal storage, Storage Temperature Limit (in Degree Celsius): Normal Warehouse Temperature, Food Preference: Veg, Ingredients: Available on the image, Nutrient Content: Available on the image, FSSAI Number: Available on the image, Additives: Available on the image, Dietary Preference: Available on the Image, Allergens Included: Available on the Image, Net Quantity: 400 g, Net Weight: 400 g|Available on the Image|Haldiram Foods International Pvt. Ltd.||Reliance Retail||||||||400 g|Available on the image||True||490007672P||||||||
606421216|Jiomart||||||||2025-11-06|"BTW Bikaneri Bhujia Sev Namkeen 850g | Tasty Namkeen Bhujiya Indian Snacks | Tea Time Namkeen Bhujia Sev"|BTW||850|g||Category|Groceries|Biscuits, Drinks & Packaged Foods|Chips & Namkeens|Namkeen & Savoury Snacks|||278.00|179.00|278.00|179.00||||35.0|35.0% OFF|||||||INR|Category > Groceries > Biscuits, Drinks & Packaged Foods > Chips & Namkeens > Namkeen & Savoury Snacks|https://www.jiomart.com/p/groceries/btw-bikaneri-bhujia-namkeen-1kg/606421216||"BTW Bhujia Sev Namkeen 850g | Tasty Namkeen Bhujiya Indian Snacks | Tea Time Namkeen Bhujia Sev Disclaimer: Store In A Dry And Hygienic Place, Keep The Material In An Airtight Container Once Opened."||Normal Warehouse Temperature||As Per Mentioned In The Product|India|NA||||Approx Details Mentioned On Box|Approx Details Mentioned On Box|||||||||||||||Namkeen & Savoury Snacks||||||||||||||3.5|3773.0||https://www.jiomart.com/images/product/original/rvwun6h2lz/btw-bhujia-sev-namkeen-850g-tasty-namkeen-bhujiya-indian-snacks-tea-time-namkeen-bhujia-sev-product-images-orvwun6h2lz-p606421216-0-202508281248.jpg?im=Resize=(150,150)||https://www.jiomart.com/images/product/original/rvwun6h2lz/btw-bhujia-sev-namkeen-850g-tasty-namkeen-bhujiya-indian-snacks-tea-time-namkeen-bhujia-sev-product-images-orvwun6h2lz-p606421216-1-202508281248.jpg?im=Resize=(150,150)||https://www.jiomart.com/images/product/original/rvwun6h2lz/btw-bhujia-sev-namkeen-850g-tasty-namkeen-bhujiya-indian-snacks-tea-time-namkeen-bhujia-sev-product-images-orvwun6h2lz-p606421216-2-202508281248.jpg?im=Resize=(150,150)||||||||||Brand: BTW, Manufacturer: BTW INDIA PRIVATE LIMITED, Manufacturer Address: BTW INDIA PRIVATE LIMITED, Manufacturer Email: ecommerce@btwindia.com, Manufacturer Website: https://www.btwindia.com/, Sold By: Btw india private limited, JioMart Customer Care Phone: 1800 890 1222, Marketed By: BTW INDIA PRIVATE LIMITED, Included Components: BTW Bhujia 850g, Country of Origin: India, Product Type: Namkeen & Savoury Snacks, How To Use: As Per Mentioned In The Product, Storage Category: Normal storage, Storage Temperature Limit (in Degree Celsius): Normal Warehouse Temperature, Food Preference: Veg, Ingredients: Moth Flour, Gram Flour, Edible Vegetable Oil (Cotton Seed Oil & Palmolein Oil), Spices & Condiments, Nutrient Content: Approx Details Mentioned On Box, FSSAI Number: 10020064002262, Additives: As Per Mentioned In The Product, Dietary Preference: NA, Allergens Included: NA, Flavor: Bikaneri Bhujia, Container Type: Pouch, Organic: No, Added Preservatives: No, Country Of Origin: India, Net Quantity: 850 g, Nutrition: As per Images, Height: 8 cm, Length: 30 cm, Width: 19 cm, Net Weight: 850 g|NA|BTW INDIA PRIVATE LIMITED||Btw india private limited||||||||850 g|Moth Flour, Gram Flour, Edible Vegetable Oil (Cotton Seed Oil & Palmolein Oil), Spices & Condiments||True||606421216P||||||||
491551667|Jiomart||||||||2025-11-06|Snactac Moong Dal 150 g|Snactac||150|g||Category|Groceries|Biscuits, Drinks & Packaged Foods|Chips & Namkeens|Namkeen & Savoury Snacks|||72.00|36.00|72.00|36.00||||50.0|50.0% OFF|||||||INR|Category > Groceries > Biscuits, Drinks & Packaged Foods > Chips & Namkeens > Namkeen & Savoury Snacks|https://www.jiomart.com/p/groceries/snactac-moong-dal-150-g/491551667||Snactac Moong Dal is the perfect option if you are craving a tasty, between-meals snack. Enjoy it with your tea or coffee or as a standalone treat. Your family and friends are sure going to ask for more. So go ahead, buy this product online today! Disclaimer: Despite our attempts to provide you with the most accurate information possible, the actual packaging, ingredients and colour of the product may sometimes vary. Please read the label, directions and warnings carefully before use.||Normal Warehouse Temperature||Available on the image|India|Available on the Image||||Available on the Image|Available on the Image|||||||||||||||Namkeen & Savoury Snacks||||||||||||||3.6|16413.0||https://www.jiomart.com/images/product/original/491551667/snactac-moong-dal-150-g-product-images-o491551667-p491551667-0-202208191837.jpg?im=Resize=(150,150)||https://www.jiomart.com/images/product/original/491551667/snactac-moong-dal-150-g-product-images-o491551667-p491551667-1-202208191837.jpg?im=Resize=(150,150)||https://www.jiomart.com/images/product/original/491551667/snactac-moong-dal-150-g-legal-images-o491551667-p491551667-2-202208191837.jpg?im=Resize=(150,150)||||||||||Brand: Snactac, Manufacturer: Private Label, Manufacturer Address: Sunshine Food Products, Sold By: Reliance Retail, JioMart Customer Care Phone: 1800 890 1222, Included Components: Moong Dal 150 g, Country of Origin: India, Product Type: Namkeen & Savoury Snacks, How To Use: Available on the image, Storage Category: Normal storage, Storage Temperature Limit (in Degree Celsius): Normal Warehouse Temperature, Food Preference: Veg, Ingredients: Available on the Image, Nutrient Content: Available on the Image, FSSAI Number: 10012013000353, Additives: Available on the image, Dietary Preference: NA, Allergens Included: Available on the Image, Net Quantity: 150 g, Nutrition: Available on the image, Height: 192 mm, Length: 45 mm, Width: 155 mm|NA|Sunshine Food Products||Reliance Retail||||||||150 g|Available on the Image||True||491551667P||||||||
490000794|Jiomart||||||||2025-11-06|Haldiram's Nagpur Bhujia Sev 200 g|HALDIRAM’S NAGPUR||200|g||Category|Groceries|Biscuits, Drinks & Packaged Foods|Chips & Namkeens|Namkeen & Savoury Snacks|||57.00|50.00|57.00|50.00||||12.0|12.0% OFF|||||||INR|Category > Groceries > Biscuits, Drinks & Packaged Foods > Chips & Namkeens > Namkeen & Savoury Snacks|https://www.jiomart.com/p/groceries/haldiram-s-nagpur-bhujia-sev-150-g/490000794||Haldiram’s is an Indian food company manufacturing a variety of traditional and western sweets, snacks, namkeens, etc. Haldiram's Nagpur Bhujia Sev is is a crunchy, tasty and flavourful snack that brings you an authentic taste originated from Bikaner. Comes from the perfection of making Bhujia with quality ingredients. The crispy texture and combination of spices gives you a great taste. Buy this product online today! Disclaimer: Despite our attempts to provide you with the most accurate information possible, the actual packaging, ingredients and colour of the product may sometimes vary. Please read the label, directions and warnings carefully before use.||Normal Warehouse Temperature||Available on the image|India|Available on the Image||||Available on the Image|Available on the Image|||||||||||||||Namkeen & Savoury Snacks||||||||||||||3.6|10613.0||https://www.jiomart.com/images/product/original/490000794/haldiram-s-nagpur-bhujia-sev-200-g-product-images-o490000794-p490000794-0-202410161605.jpg?im=Resize=(150,150)||https://www.jiomart.com/images/product/original/490000794/haldiram-s-nagpur-bhujia-sev-200-g-product-images-o490000794-p490000794-1-202410161605.jpg?im=Resize=(150,150)||https://www.jiomart.com/images/product/original/490000794/haldiram-s-nagpur-bhujia-sev-200-g-legal-images-o490000794-p490000794-2-202410161605.jpg?im=Resize=(150,150)||||||||||Brand: HALDIRAM’S NAGPUR, Manufacturer: Haldiram Foods International Ltd., Manufacturer Address: Haldiram Foods International Pvt. Ltd., Sold By: Reliance Retail, JioMart Customer Care Phone: 1800 890 1222, Included Components: Haldiram's Nagpur Bhujia Sev 200 g, Country of Origin: India, Product Type: Namkeen & Savoury Snacks, How To Use: Available on the image, Storage Category: Normal storage, Storage Temperature Limit (in Degree Celsius): Normal Warehouse Temperature, Food Preference: Veg, Ingredients: Available on the Image, Nutrient Content: Available on the Image, FSSAI Number: 10012022000308, Additives: Available on the image, Dietary Preference: Available on the Image, Allergens Included: Available on the Image, Net Quantity: 200 g, Nutrition: Available on the image, Height: 220 mm, Length: 60 mm, Width: 125 mm|Available on the Image|Haldiram Foods International Pvt. Ltd.||Reliance Retail||||||||200 g|Available on the Image||True||490000794P||||||||
