URL,Product Name,Price,currency,OEM Part For,Part Number,Availability,Breadcrumbs,Description,Additional Description
https://www.ereplacementparts.com/metal-cut-off-wheel-412-p-141165.html,60 Grit Rapido Fast Metal/​stai TCW1S450,5.27,USD,Bosch,TCW1S450,In Stock,Repair Parts Home > Power Tool Parts > Accessories > TCW1S450 60 Grit Rapido Fast Metal/stai,"This ISO 41 Rapido thin cutting wheel provides up to 50% less cutting time and require less force. It is excellent for vibration free cutting and no burring to avoid rework. Diameter: 4-1/2"" Thickness: .040"" Arbor: 7/8"" Application: Metal/Stainless Steel Cutting Max. RPM: 13, 280 QTY: 1 Grit: AS60INOX-BF",Classification: Accessory Weight: 0.06 lbs.
https://www.ereplacementparts.com/grinding-wheel-412-p-114849.html,Grinding Wheel - 4 1/​2 DW4514,6.15,USD,DeWALT,DW4514,In Stock,Repair Parts Home > Power Tool Parts > DeWALT Parts > DW4514 Grinding Wheel - 4 1/2,"The grinding wheel goes between the clamp nut and the flange. It is an original DeWALT and Black & Decker part for use in angle grinders and sanders. This item is made of a durable material and is sold individually. During replacement, it may require a screwdriver and a set of pliers to help install this part correctly. This item may become broken and will need to be replaced. Diameter: 4-1/2"" Thickness: 1/4"" Arbor: 7/8"" Application: METAL GRINDING / GENERAL PURPOSE Max. RPM: 13, 300 RPM QTY: 1 Grit: A24R",Classification: Accessory Weight: 0.35 lbs.
https://www.ereplacementparts.com/grinding-wheel-412-diameter-045-thick-arbor-p-115008.html,Grinding Wheel - 4-1/​2-inch Di DW8424,6.15,USD,DeWALT,DW8424,In Stock,Repair Parts Home > Power Tool Parts > Accessories > DW8424 Grinding Wheel - 4-1/2-inch Di,"Diameter: 4-1/2"" Thickness: .045"" Arbor: 7/8"" Application: STAINLESS, THIN METAL CUTTING & GRINDING/TYPE 27 Max. RPM: 13, 300 RPM QTY: 1 Grit: A60T",Classification: Accessory Weight: 0.10 lbs.
https://www.ereplacementparts.com/grinding-wheel-412-diameter-thick-arbor-p-147434.html,Grinding Wheel - 4-1/​2 Diamet 49-94-4520,5.27,USD,Milwaukee,49-94-4520,In Stock,Repair Parts Home > Power Tool Parts > Accessories > 49-94-4520 Grinding Wheel - 4-1/2 Diamet,"4-1/2 inch x 1/4 inch x 7/8 inch A24R Type 27 Comprehensive offering for general purpose to specialized high performance applications Consistent performance from wheel to wheel through superior manufacturing processes Tested for balance, resulting in smooth, vibration free grinding and cutting Milwaukee's comprehensive offering of grinding and cutting wheels consists of 45 unique products ranging in diameters from 4-1/2 in. to 14 in., with arbor configurations of 7/8 in., 20mm, 1 in. and 5/8 in.-11. Milwaukee's abrasive offering is manufactured using three types of abrasive grains, Aluminum Oxide, Silicon Carbide, and Zirconia Alumina, providing products for general purpose to specialized high performance applications. Diameter: 4-1/2"" Thickness: 1/4"" Arbor: 7/8"" Application: METAL GRINDING / GENERAL PURPOSE Max. RPM: 13, 580 Grit: A24R QTY: 1",Classification: Accessory Weight: 0.35 lbs.
https://www.ereplacementparts.com/grinding-wheel-412-diameter-thick-arbor-p-146801.html,Grinding Wheel - 4-1/​2 Diamet GW27M450,6.15,USD,Bosch,GW27M450,,Repair Parts Home > Power Tool Parts > Accessories > GW27M450 Grinding Wheel - 4-1/2 Diamet,"This Type 27 Bosch premium grade abrasive is constructed of a high quality abrasive grain, bonding coat and backing for metal, concrete, masonry, pipeline, asphalt and stainless steel cutting and grinding. An easy-to-read label is incorporated into the manufacturing process and therefore remains intact throughout the life of the wheel. Diameter: 4-1/2"" Thickness: 1/4"" Arbor: 7/8"" Application: METAL GRINDING / GENERAL PURPOSE Max. RPM: 13, 280 Grit: A30T-BF QTY: 1",Classification: Accessory Weight: 0.35 lbs.
https://www.ereplacementparts.com/grinding-wheel-412-diameter-thick-arbor-p-146932.html,Grinding Wheel - 4-1/​2-inch Di DW8308,8.94,USD,DeWALT,DW8308,,Repair Parts Home > Power Tool Parts > Accessories > DW8308 Grinding Wheel - 4-1/2-inch Di,"Zirconia grit enables 3X faster material removal than fiber resin metal sanding discs Premium abrasive cloth provides up to 15 X longer life than fiber resin metal sanding discs Type 29 fiberglass backing provides grinding angle of 20-25 degrees Diameter: 4-1/2"" Arbor: 7/8"" Application: Type 29 Max. RPM: 13, 300 RPM Grit: 60 QTY: 1",Classification: Accessory Weight: 0.20 lbs.
https://www.ereplacementparts.com/grinding-wheel-diameter-764-thick-arbor-p-115028.html,Grinding Wheel - 14 DW8001,13.45,USD,"DeWALT, Black and Decker",DW8001,In Stock,Repair Parts Home > Power Tool Parts > DeWALT Parts > DW8001 Grinding Wheel - 14,"Diameter: 14"" Thickness: 7/64"" Arbor: 1"" Application: CHOP SAW & STATIONARY CUTOFF WHEELS TYPE 1 GENERAL PURPOSE Max. RPM: 4, 300 RPM QTY: 1 Grit: A24R",Classification: Accessory Weight: 0.70 lbs.
https://www.ereplacementparts.com/grinding-wheel-diameter-116-thick-arbor-p-146846.html,"Grinding Wheel - 6 Diameter,​ TCW1S600",5.55,USD,Bosch,TCW1S600,In Stock,"Repair Parts Home > Power Tool Parts > Accessories > TCW1S600 Grinding Wheel - 6 Diameter,","This ISO 41 Rapido thin cutting wheel provides up to 50% less cutting time and require less force. It is excellent for vibration free cutting and no burring to avoid rework. Diameter: 6"" Thickness: 1/16"" Arbor: 7/8"" Application: Metal/Stainless Steel Cutting Max. RPM: 10, 200 Grit: AS60INOX-BF QTY: 1",Classification: Accessory Weight: 0.08 lbs.
https://www.ereplacementparts.com/grinding-wheel-412-diameter-thick-arbor-p-114922.html,Grinding Wheel - 4-1/​2-inch Di DW4524,6.15,USD,DeWALT,DW4524,In Stock,Repair Parts Home > Power Tool Parts > Accessories > DW4524 Grinding Wheel - 4-1/2-inch Di,"Diameter: 4-1/2"" Thickness: 1/4"" Arbor: 7/8"" Application: CONCRETE GRINDING TYPE 27 Max. RPM: 13, 300 RPM QTY: 1 Grit: C24R",Classification: Part Weight: 0.30 lbs.
https://www.ereplacementparts.com/grinding-wheel-diameter-040-thick-arbor-p-146845.html,"Grinding Wheel - 6 Diameter,​ TCW1S6XT",5.55,USD,Bosch,TCW1S6XT,In Stock,"Repair Parts Home > Power Tool Parts > Accessories > TCW1S6XT Grinding Wheel - 6 Diameter,","This ISO 41 Rapido thin cutting wheel provides up to 50% less cutting time and require less force. It is excellent for vibration free cutting and no burring to avoid rework. Diameter: 6"" Thickness: .040"" Arbor: 7/8"" Application: Metal/Stainless Steel Cutting Max. RPM: 10, 200 Grit: AS60INOX-BF QTY: 1",Classification: Accessory Weight: 0.13 lbs.
