id,reference_number,url,broker_display_name,broker,category,category_url,title,description,location,price,currency,price_per,bedrooms,bathrooms,furnished,rera_permit_number,dtcm_licence,scraped_ts,amenities,details,agent_name,number_of_photos,user_id,phone_number,date,iteration_number,depth,property_type,sub_category_1,sub_category_2,published_at
104409,104409,https://www.nawy.com/compound/181-il-bosco-new-capital/property/104409-apartment-for-sale-in-il-bosco-new-capital-with-1-bedroom-in-new-capital-city-by-misr-italia-properties,Misr Italia Properties,Misr Italia Properties,,,Apartment for sale in Il Bosco New Capital with 1 bedroom in New Capital City by Misr Italia Properties,A 1 bedroom Apartment in Il Bosco New Capital by Misr Italia Properties. The Apartment size is 81 m2 with 1 bathrooms with a garden of 25 m2 . This property will be ready for delivery not-finished by 2025-11-30.,"Il Bosco New Capital, New Capital City, Egypt",7800000,EGP,,1,1,,,,2025-11-28,"Garden,Infrastructure,Clubhouse ,Underground parking,Medical center,Commercial strip ,Business Hub,Outdoor pools,bicycles lanes,Jogging trail","Gallery,View on Map,Floor Plan,Master Plan",,4,,+201017248451,2025-11-28,,,Apartment,,,
108063,108063,https://www.nawy.com/compound/1548-district-2-moon-heights/property/108063-Apartment-for-sale-in-District 2 - Moon Heights-with-21-bedrooms-in-October Gardens-by-Palm Hills Developments,Palm Hills Developments,Palm Hills Developments,,,Apartment for sale in District 2 - Moon Heights with 1 bedroom in October Gardens by Palm Hills Developments,A 1 bedroom Apartment in District 2 - Moon Heights by Palm Hills Developments. The Apartment size is 61 m2 with 1 bathrooms. This property will be ready for delivery finished by 2030-12-30.,"District 2 - Moon Heights, October Gardens, Egypt",6339300,EGP,,1,1,,,,2025-11-28,,"Gallery,View on Map,Master Plan",,6,,+201065888849,2025-11-28,,,Apartment,,,
80297,80297,https://www.nawy.com/compound/1433-sapphire-residence/property/80297-apartment-for-sale-in-sapphire-residence-with-1-bedroom-in-new-cairo-by-qatari-diar,Qatari Diar,Qatari Diar,,,Apartment for sale in Sapphire Residence with 1 bedroom in New Cairo by Qatari Diar,A 1 bedroom Apartment in Sapphire Residence by Qatari Diar. The Apartment size is 50 m2 with 1 bathrooms. This property will be ready for delivery not-finished by 2029-04-30.,"Sapphire Residence, New Cairo, Egypt",6510000,EGP,,1,1,,,,2025-11-28,,"Gallery,View on Map,Master Plan",,5,,+201065888849,2025-11-28,,,Apartment,,,
104367,104367,https://www.nawy.com/compound/1353-m-residence/property/104367-Cabin-for-sale-in-M Residence-with-11-bedrooms-in-Ain Sokhna-by-Tatweer Misr,Tatweer Misr,Tatweer Misr,,,Cabin for sale in M Residence with 1 bedroom in Ain Sokhna by Tatweer Misr,A 1 bedroom Cabin in M Residence by Tatweer Misr. The Cabin size is 45 m2 with 1 bathrooms. This property will be ready for delivery finished by 2030-03-30.,"M Residence, Ain Sokhna, Egypt",7045000,EGP,,1,1,,,,2025-11-28,,"Gallery,View on Map,Floor Plan,Master Plan",,5,,+201065888849,2025-11-28,,,Cabin,,,
103294,103294,https://www.nawy.com/compound/1701-core/property/103294-Apartment-for-sale-in-Core-with-21-bedrooms-in-October Gardens-by-Orascom Development Egypt,Orascom Development Egypt,Orascom Development Egypt,,,Apartment for sale in Core with 1 bedroom in October Gardens by Orascom Development Egypt,A 1 bedroom Apartment in Core by Orascom Development Egypt. The Apartment size is 77 m2 with 1 bathrooms. This property will be ready for delivery semi-finished by 2027-12-31.,"Core, October Gardens, Egypt",7436000,EGP,,1,1,,,,2025-11-28,,"Gallery,View on Map,Floor Plan,Master Plan",,4,,+201065888849,2025-11-28,,,Apartment,,,
108961,108961,https://www.nawy.com/compound/1619-club-park-icity-october/property/108961-Apartment-for-sale-in-Club Park - ICity October-with-21-bedrooms-in-Northern Expansion-by-Mountain View,Mountain View,Mountain View,,,I-Apartment for sale in Club Park - ICity October with 2 bedrooms in Northern Expansion by Mountain View,A 2 bedroom Apartment in Club Park - ICity October by Mountain View. The Apartment size is 105 m2 with 2 bathrooms. This property will be ready for delivery not-finished by 2028-12-01.,"Club Park - ICity October, Northern Expansion, Egypt",8143583,EGP,,2,2,,,,2025-11-28,,"Gallery,View on Map,Floor Plan,Master Plan",,5,,+201065888849,2025-11-28,,,Apartment,,,
104369,104369,https://www.nawy.com/compound/1306-coflow/property/104369-Office-for-sale-in-Coflow -with-8-bedrooms-in-Mostakbal City-by-Tatweer Misr,Tatweer Misr,Tatweer Misr,,,Office for sale in Coflow in Mostakbal City by Tatweer Misr,A Office in Coflow  by Tatweer Misr. The Office size is 65 m2. This property will be ready for delivery not-finished by 2029-12-29.,"Coflow , Mostakbal City, Egypt",9418000,EGP,,0,0,,,,2025-11-28,,"Gallery,View on Map,Floor Plan,Master Plan",,5,,+201065888849,2025-11-28,,,Office,,,
39591,39591,https://www.nawy.com/compound/202-bloomfields/property/39591-apartment-for-sale-in-bloomfields-with-2-bedrooms-in-mostakbal-city-by-tatweer-misr,Tatweer Misr,Tatweer Misr,,,Apartment for sale in Bloomfields  with 2 bedrooms in Mostakbal City by Tatweer Misr,A 2 bedroom Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 125 m2 with 3 bathrooms. This property will be ready for delivery not-finished by 2028-12-29.,"Bloomfields , Mostakbal City, Egypt",8653000,EGP,,2,3,,,,2025-11-28,"Clubhouse ,Underground parking,Schools,Commercial strip ,Business Hub,Outdoor pools,bicycles lanes,Jogging trail","Gallery,View on Map,Floor Plan,Master Plan",,6,,+201065888849,2025-11-28,,,Apartment,,,
105179,105179,https://www.nawy.com/compound/1567-parkside-owest/property/105179-Apartment-for-sale-in-Parkside - Owest -with-21-bedrooms-in-October Gardens-by-Orascom Development Egypt,Orascom Development Egypt,Orascom Development Egypt,,,Apartment for sale in Parkside - Owest with 2 bedrooms in October Gardens by Orascom Development Egypt,A 2 bedroom Apartment in Parkside - Owest  by Orascom Development Egypt. The Apartment size is 94 m2 with 2 bathrooms. This property will be ready for delivery not-finished by 2030-09-30.,"Parkside - Owest , October Gardens, Egypt",9718000,EGP,,2,2,,,,2025-11-28,,"Gallery,View on Map,Floor Plan,Master Plan",,5,,+201065888849,2025-11-28,,,Apartment,,,
104703,104703,https://www.nawy.com/compound/663-cleo-palm-hills-new-cairo/property/104703-Apartment-for-sale-in-Cleo - Palm Hills New Cairo-with-21-bedrooms-in-New Cairo-by-Palm Hills Developments,Palm Hills Developments,Palm Hills Developments,,,Apartment for sale in Cleo - Palm Hills New Cairo with 1 bedroom in New Cairo by Palm Hills Developments,A 1 bedroom Apartment in Cleo - Palm Hills New Cairo by Palm Hills Developments. The Apartment size is 70 m2 with 1 bathrooms. This property will be ready for delivery finished by 2030-06-30.,"Cleo - Palm Hills New Cairo, New Cairo, Egypt",9747000,EGP,,1,1,,,,2025-11-28,,"Gallery,View on Map,Floor Plan,Master Plan",,4,,+201065888849,2025-11-28,,,Apartment,,,
