pdp_url,article_number,brand,product_name,size,regular_price,selling_price,price_per_unit,promotion_description,product_description,additional_information,ingredients,allergens,nutrition_info,preparation_instructions,preparation_methods,identification_marking,country_of_origin,storage_instructions,instructions_for_use,variant,country
https://www.spar.at/produktwelt/spar-premium-riesengarnelen-essfertig-p2020001857159,2020001857159,SPAR PREMIUM,Riesen-Garnelen genussfertig,400 G,14.99,11.99,Per 1 kg 29.98,Mengenvorteil ab 2 Stk. je,"- ASC-Nr.: ASC-C-00428 - Aus einer ASC-zertifizierten verantwortungsvollen Zucht. www.asc-aqua.org - sofort nach dem Auftauen genussfertig - Aus verantwortungsvoller Aquakultur in Vietnam gewonnen. Die Herkunft. SPAR PREMIUM Riesen-Garnelen stammen aus verantwortungsvoller Aquakultur in Vietnam und werden nach dem „Best Aquaculture"" Programm aufgezogen. Dieses umfasst streng kontrollierte Qualitätsvorgaben, wie Schutz der Mangrovengebiete, Kontrolle der Tiergesundheit und Futtermittel. Rückverfolgung der Herkunft. Von welcher verantwortungsvollen Teichanlage Ihre SPAR PREMIUM Riesen-Garnelen stammen, erfahren Sie durch Eingabe des Tracking-Codes (siehe Aufdruck) auf www.spar.at/Riesen-Garnelen Die besondere Qualität. Jede Ernte wird in der Nähe der Aufzuchtteiche auf Antibiotikafreiheit geprüft, erntefrisch verarbeitet und sofort tiefgekühlt. So bleibt der frische, reine Seafood-Geschmack erhalten. SPAR PREMIUM Riesen-Garnelen zeichnen sich durch einen knackigen Biss a us. Der Darm der Tiere wird mit Hilfe einer Nadel von Hand entfernt, die Garnelen werden dann als „pin-deveined"" bezeichnet. Durch das schonende „Pin-deveining"" wird das Fleisch der Garnele nicht verletzt und bleibt besonders saftig. Die Riesen-Garnelen werden von einer hauchdünnen schützenden Eisglasur umhüllt und sind einzeln entnehmbar.",Trotz sorgfältigster Herstellung kann dieses Produkt kleine Schalenteile enthalten.,"Zutaten: Riesen-GARNELEN, Salz unjodiert. In Großbuchstaben angegebene Zutaten enthalten allergene Inhaltsstoffe.",Enthält Krebstiere und daraus gewonnene Erzeugnisse,"Nährwertsbezugsgröße: 100,00 g, Energie Kjoule: ca. 352,00 kJ, Energie Kcal: ca. 84,00 kcal, Fett: ca. 0,80 g, Fett, davon gesättigte Fettsäuren: ca. 0,60 g, Kohlenhydrate: ca. 0 g, Kohlenhydrate, davon Zucker: ca. 0 g, Ballaststoffe: ca. 0 g, Eiweiß: ca. 19,00 g, Salz: ca. 0,57 g, Broteinheiten: ca. 0 BE","SPAR PREMIUM Riesen-Garnelen sind direkt nach dem Auftauen genussfertig (Tipp: mit Dip Saucen)., Sie können auch gegrillt oder gebraten werden – idealerweise jedoch nur ganz kurz – etwa 2 Minuten!","Auftauen, Grillen mit direkter Hitze",VN DL 447,Sorgfältig hergestellt in Vietnam,Kühlschrank (+4°C) 1 Tag * Fach oder Eiswürfelfach (-6°C) 3 Tage ** Fach (-12°C) 1 Monat ***Fach oder Tiefkühltruhe (-18°C) mindestens haltbar bis: siehe Verpackung Nach dem Auftauen nicht wieder einfrieren!,"Auftauen: Im Kühlschrank: ca. 12 Stunden. Bei Raumtemperatur: 2-4 Stunden oder rascher unter fließendem Wasser. Auftauwasser abgießen. Nach dem Auftauen essfertig, Garnelen am Auftautag konsumieren!",genussfertig,Vietnam
https://www.spar.at/produktwelt/spar-premium-pane-guttiau-p2020002652319,2020002652319,SPAR PREMIUM,Pane Guttiau,200 G,2.99,2.99,Per 1 kg 14.95,,"Die Herkunft. In einer kleinen Manufaktur auf Sardinien wird das hauchdünne Fladenbrot aus Hartweizengrieß, Olivenöl, Hefe und Salz nach alter Tradition doppelt gebacken. Die Geschichte. Aus dem antiken Pane Carasau hervorgegangen, diente dieses knusprige Brot einst den sardischen Schafhirten als haltbare Wegzehrung – leicht, aromatisch und vielseitig verwendbar. Die Verwendungsmöglichkeiten. Perfekt zu Antipasti, Salaten oder als Brotersatz – auch als Lasagneblatt oder Snack zu einem Glas Weißwein ein mediterraner Hochgenuss.",,"Zutaten: 56% HARTWEIZENGRIESS, Wasser, 16% natives Olivenöl extra, Salz unjodiert, Hefe. In Großbuchstaben angegebene Zutaten enthalten allergene Inhaltsstoffe.","Enthält Glutenhaltiges Getreide sowie Erzeugnisse daraus, Kann Spuren enthalten von Sojabohnen und daraus gewonnene Erzeugnisse","Nährwertsbezugsgröße: 100,00 g, Energie Kjoule: ca. 2019,00 kJ, Energie Kcal: ca. 482,00 kcal, Fett: ca. 23,00 g, Fett, davon gesättigte Fettsäuren: ca. 3,20 g, Kohlenhydrate: ca. 57,00 g, Kohlenhydrate, davon Zucker: ca. 1,30 g, Ballaststoffe: ca. 4,10 g, Eiweiß: ca. 11,00 g, Salz: ca. 2,10 g, Broteinheiten: ca. 4,80 BE","Der Rezept Tipp. Lasagne mit Pane Guttiau und Fisolen Zutaten für 4 Personen: 100g Pane Guttiau 300g Fisolen 150g Peccorino (Hartkäse aus Schafmilch) 40g Pistazien 40g Parmesan 30g Butter 2 Frühlingszwiebeln 2 Majoranzweige Muskat, Pfeffer, Salz Fisolen waschen, die Enden abschneiden und der Länge nach halbieren. Die Frühlingszwiebeln schälen, klein schneiden und mit 20g Butter langsam anbraten und mit einem Holzkochlöffel umrühren. Die geschnittenen Pistazien und Fisolen dazu geben und mit Salz würzen. Für ca. 4-5 Minuten anbraten. Etwas der Pistazien für die Garnierung am Ende aufheben. Pfeffer und Muskat dazu geben und die Pfanne vom Herd nehmen. Das Pane Guttiau kurz in Wasser einweichen und gut abtropfen lassen. Ofenfeste Form mit etwas Butter bestreichen und mit der ersten Lade des eingeweichten Pane Guttiau auslegen, danach das angebratene Gemüse, den geschnittenen Majoran und etwas geriebenen Parmesan und Pecorino darüber geben. Diesen Vorgang wiederholen, bis a lle Blätter des Pane Guttiau verbraucht sind. Am Ende dünne Streifen des Pecorino und etwas der geschnittenen Pistazien darüber geben und die Lasagne im Ofen für 45 Minuten bei 200°C backen.",Backen,,aus Italien,Trocken lagern.,,,Italien
https://www.spar.at/produktwelt/spar-premium-edition-johanna-maier-tortellini-mit-prosciutto-di-parma-dop-p1745153,1745153,SPAR PREMIUM Edition Johanna Maier,"Tortellini mit ""Prosciutto di Parma DOP""",250 G,3.49,2.99,Per 1 kg 11.96,Mengenvorteil ab 2 Stk. je,"Die Herkunft. Hergestellt in einer der ältesten italienischen Nudelmanufakturen, entstehen diese Tortellini nach den Rezepten von Johanna Maier. Feinste Zutaten und traditionelle Fertigung garantieren authentischen Pastagenuss. Der Geschmack. Die Füllung mit feinem Prosciutto entfaltet sich in zartem Teig zu einem vollmundigen Erlebnis mit mediterranem Charakter. Die ausgewogene Würze verbindet Eleganz und Bodenständigkeit. Die Verwendungsmöglichkeiten. Mit Butter, Parmesan oder feiner Sauce serviert, entfalten die Tortellini ihr volles Aroma. Ob im Alltag oder beim festlichen Dinner – sie passen immer dann, wenn gute Pasta gefragt ist.",Sorgfältig abgepackt in Italien Die Weinempfehlung. Genießen Sie zu den Tortellini einen Tocai friulano.,"Zutaten: 55% Teigware (WEICHWEIZENMEHL, EIER, HARTWEIZENGRIESS), 45% Füllung (Schweinefleisch, 9% Prosciutto di Parma DOP* [Schweinefleisch, Meersalz unjodiert], Semmelbrösel [WEICHWEIZENMEHL, Hefe, Salz unjodiert], Grana Padano DOP [MILCH, Salz unjodiert, tierisches Lab, Konservierungsstoff: Lysozym (enthält EI)], Rindfleischextrakt, Salz unjodiert, Gewürze, Knoblauch). *Autorizzazione del Consorzio del Prosciutto di Parma 02.05.2014. In Großbuchstaben angegebene Zutaten enthalten allergene Inhaltsstoffe.","Enthält Glutenhaltiges Getreide sowie Erzeugnisse daraus, Enthält Eier und daraus gewonnene Erzeugnisse, Kann Spuren enthalten von Sojabohnen und daraus gewonnene Erzeugnisse, Enthält Milch und daraus gewonnene Erzeugnisse (inkl. Laktose), Kann Spuren enthalten von Senf und daraus gewonnene Erzeugnisse","Nährwertsbezugsgröße: 100,00 g, Energie Kjoule: ca. 1177,00 kJ, Energie Kcal: ca. 280,00 kcal, Fett: ca. 10,00 g, Fett, davon gesättigte Fettsäuren: ca. 4,50 g, Kohlenhydrate: ca. 33,00 g, Kohlenhydrate, davon Zucker: ca. 1,00 g, Ballaststoffe: ca. 2,00 g, Eiweiß: ca. 14,00 g, Salz: ca. 1,40 g, Broteinheiten: ca. 2,80 BE","Die SPAR PREMIUM Pasta in heißem, nicht mehr kochendem, leicht gesalzenem Wasser ca. 1-2 Minuten zugedeckt ziehen lassen und fertig ist der Pasta-Genuss!, Der Rezept-Tipp. Mit Salat servieren: Dazu 5 Kirschtomaten vierteln und je eine halbe gelbe und rota Paprikaschote, eine Viertel Salatgurke geschält und 2 Frühlingszwiebeln würfeln. Gemeinsam mit 2 EL entsteinten Oliven und 8 Basilikumblättern in Streifen mit den gekochten, abgekühlten Tortellini in einer Schüssel mischen. Anschließend mit 2 EL weißem Balsamico Essig, 2 EL Olivenöl, Bauerngartensalz, Mediterranem Gewürz und Bergpfeffer marinieren.","Sieden in kochender Flüssigkeit, Keine nähere Angabe",IT 1015 L CE / IT 728 L CE (siehe Aufdruck Verpackung),,Vor und nach dem Öffnen gekühlt aufbewahren (max. +4°C). Nach dem Öffnen innerhalb von 3 Tagen genießen.,,"mit ""Prosciutto di Parma DOP""",
https://www.spar.at/produktwelt/spar-premium-sockeye-wildlachs-p1807332,1807332,SPAR PREMIUM,MSC Sockeye Wildlachs,100 G,8.99,7.49,Per 1 kg 74.9,Mengenvorteil ab 2 Stk. je,"Die Nachhaltigkeit. Dieses Produkt stammt aus einer Fischerei, die unabhängig nach den Richtlinien des MSC für eine beispielhafte und nachhaltige Fischerei zertifiziert wurde. www.msc.org/at Die Herkunft. Der Sockeye-Wildlachs stammt aus den klaren Gewässern vor der Küste Alaskas und wird unter nachhaltigen Bedingungen traditionell gefangen. Seine leuchtend rote Farbe verdankt er natürlicher Ernährung. Die Herstellungsweise. Von Hand filetiert und gesalzen, wird der Lachs schonend über Buchenholz kaltgeräuchert. So entfaltet sich das volle Aroma mit einer feinen Rauchnote. Der Geschmack. Zartes, festes Fleisch mit fein-herbem Geschmack und elegantem Abgang. Eine Delikatesse mit Herkunft und Tiefe. MSC-C-51260. Fisch aus einer Fischerei, die nach dem MSC-Umweltstandard zertifiziert wurde. msc.org",Produkt kann trotz größter Sorgfalt bei der Herstellung Gräten enthalten.,"Zutaten: WILDLACHS, Salz unjodiert, Säureregulator: Natriumlactat, Rauch. In Großbuchstaben angegebene Zutaten enthalten allergene Inhaltsstoffe.",Enthält Fische und daraus gewonnene Erzeugnisse,"Nährwertsbezugsgröße: 100,00 g, Energie Kjoule: ca. 468,00 kJ, Energie Kcal: ca. 111,00 kcal, Fett: ca. 2,70 g, Fett, davon gesättigte Fettsäuren: ca. 0,70 g, Kohlenhydrate: < 0,50 g, Kohlenhydrate, davon Zucker: < 0,50 g, Ballaststoffe: < 0,50 g, Eiweiß: ca. 21,00 g, Salz: ca. 3,40 g, Broteinheiten: ca. 0 BE",,,LT 72-09 EB,,Vor und nach dem Öffnen bei +2°C bis +7°C lagern. Nach dem Öffnen am selben Tag genießen.,,,
https://www.spar.at/produktwelt/spar-premium-prosciutto-crudo-p1243369,1243369,SPAR PREMIUM,Prosciutto Crudo,80 G,5.29,5.29,Per 1 kg 66.13,,"Die Herkunft. Dieser luftgetrocknete Schinken stammt aus den Hügeln Norditaliens, wo er nach traditionellen Verfahren hergestellt wird. Ausgewähltes Schweinefleisch und eine lange Reifezeit garantieren höchste Qualität. Der Geschmack. Der Prosciutto Crudo überzeugt mit einem zarten, leicht salzigen Geschmack und einer feinen Marmorierung. Die dünn geschnittenen Scheiben zergehen förmlich auf der Zunge. Die Verwendungsmöglichkeiten. Ob zu Melone, auf Pizza oder als Bestandteil eines Antipasti-Tellers – der DESPAR PREMIUM Prosciutto Crudo ist vielseitig einsetzbar und stets ein Genuss.",18 Monate gereift,"Zutaten: Schweinefleisch, Salz.",,"Nährwertsbezugsgröße: 100,00 g, Energie Kjoule: ca. 988,00 kJ, Energie Kcal: ca. 236,00 kcal, Fett: ca. 13,00 g, Fett, davon gesättigte Fettsäuren: ca. 5,30 g, Kohlenhydrate: ca. 0,80 g, Kohlenhydrate, davon Zucker: < 0,50 g, Eiweiß: ca. 29,00 g, Salz: ca. 5,60 g",,,IT 151 L CE,Sorgfältig hergestellt in Italien,Vor und nach dem Öffnen unter +7°C und trocken lagern.,10 Minuten vor dem Verzehr aus dem Kühlschrank nehmen und die Verpackung öffnen.,,
https://www.spar.at/produktwelt/spar-premium-antipasti-emiliano-p1243321,1243321,SPAR PREMIUM,Antipasti Emiliano,120 G,7.19,7.19,Per 1 kg 59.92,,"Original italienischer Aufschnitt mit Rohschinken, Coppa (luftgetrockneter Schweinenacken) und Salami. Die italienische Köstlichkeit eignet sich perfekt als Vorspeise zusammen mit frischem Brot, auf einer Pizza oder als geschmackliches Highlight in mediterranen Pastagerichten. Holen sie sich mit dieser Spezialität ein Stück Italien in die Küche nach Hause. Tipp: 10 Minuten vor dem Genuss aus dem Kühlschrank und servierfertig aus der Verpackung nehmen.",,"Zutaten: Luftgetrockneter Rohschinken 34% (Schweinefleisch, Salz, Konservierungsstoff: E252), Coppa-Luftgetrockneter Schweinenacken 33% (Schweinefleisch, Salz, Gewürze, natürliche Aromen, Dextrose, Saccharose, Konservierungsstoffe: E250, E252; Antioxidationsmittel: E300), Salami 33% (Schweinefleisch, Salz, Dextrose, Pfeffer, Knoblauch, Konservierungsstoffe: E252, E250).",,"Nährwertsbezugsgröße: 100,00 g, Energie Kjoule: ca. 1321,00 kJ, Energie Kcal: ca. 317,00 kcal, Fett: ca. 22,00 g, Fett, davon gesättigte Fettsäuren: ca. 9,20 g, Kohlenhydrate: ca. 0,80 g, Kohlenhydrate, davon Zucker: < 0,50 g, Eiweiß: ca. 29,00 g, Salz: ca. 4,70 g",,,IT Z8P23 CE,Sorgfältig hergestellt in Italien,Vor und nach dem Öffnen unter +7°C lagern. Gekühlt (bei 0 bis +7°C) und trocken lagern.,10 Minuten vor dem Verzehr aus dem Kühlschrank nehmen und die Verpackung öffnen.,,
https://www.spar.at/produktwelt/spar-premium-edition-stekovics-bio-walnuss-tatar-edition-stekovics-p2020002840419,2020002840419,SPAR PREMIUM Edition Stekovics,Bio-Walnuss-Tatar 125g,,5.49,5.49,Per 1 kg 59.92,,"Die Herstellungsweise. Geröstete Bio-Walnüsse, mildes Rapsöl und ausgewählte Gewürze werden grob gehackt zu einer streichfähigen Delikatesse verarbeitet. Der Geschmack. Nussige Tiefe, sanfte Röstaromen und ein Hauch Kräuter ergeben ein harmonisches, leicht herbes Profil. Die Verwendungsmöglichkeiten. Auf dunklem Brot, zu Käse oder als raffiniertes Topping auf Bowls.",,"Zutaten: 30% getrocknete Tomaten*, 25% gesalzene Walnüsse (grüne WALNÜSSE*, Salz unjodiert), Rapsöl*, 8% Tomaten*, Knoblauch*, 2,3% Tomatenessig*, Chili*. *aus biologischer Landwirtschaft. In Großbuchstaben angegebene Zutaten enthalten allergene Inhaltsstoffe.",Enthält Nüsse und daraus gewonnene Erzeugnisse,"Nährwertsbezugsgröße: 100,00 g, Energie Kjoule: ca. 1104,00 kJ, Energie Kcal: ca. 267,00 kcal, Fett: ca. 23,00 g, Fett, davon gesättigte Fettsäuren: ca. 2,80 g, Kohlenhydrate: ca. 9,70 g, Kohlenhydrate, davon Zucker: ca. 6,70 g, Ballaststoffe: ca. 5,00 g, Eiweiß: ca. 2,80 g, Salz: ca. 2,80 g, Broteinheiten: ca. 0,80 BE",,,,aus dem Burgenland,Bei Zimmertemperatur lagern. Geöffentes Glas gekühlt lagern und alsbald genießen.,,,Österreich
https://www.spar.at/produktwelt/spar-premium-edition-goelles-tomaten-essig-p2020005364592,2020005364592,SPAR PREMIUM Edition Gölles,Tomaten-Essig,200 ML,9.99,9.99,Per 1 l 49.95,,"Die Herkunft. In der steirischen Manufaktur Gölles wird aus sonnengereiften Tomaten ein Essig mit feinem Charakter gewonnen. Die Sorgfalt der Herstellung spiegelt sich in jedem Tropfen wider. Die Herstellungsweise. Nach der Pressung des Safts reift der Essig über Monate hinweg in Ruhe, wodurch sich sein komplexes Aromaprofil entwickeln kann. Die schonende Verarbeitung bewahrt die Fruchtigkeit der Tomate. Der Geschmack. Frisch, leicht süßlich und mit feiner Würze eignet sich dieser Essig hervorragend zum Abschmecken. Er verleiht mediterranen Speisen, Fleischgerichten oder Salaten das gewisse Etwas.","Sorgfältig hergestellt aus österreichischen Tomaten von der Manufaktur Gölles, A-8333 Riegersburg",,,"Nährwertsbezugsgröße: 100,00 ml, Energie Kjoule: ca. 88,00 kJ, Energie Kcal: ca. 20,00 kcal, Fett: ca. 0 g, Fett, davon gesättigte Fettsäuren: ca. 0 g, Kohlenhydrate: ca. 1,40 g, Kohlenhydrate, davon Zucker: ca. 1,30 g, Ballaststoffe: ca. 0 g, Eiweiß: ca. 0 g, Salz: ca. 0,12 g, Broteinheiten: ca. 0,10 BE","Der Genuss-Tipp. Gemüse wie Zucchini, Paprika und Artischockenböden blättrig schneiden, mit Tomaten-Essig, Olivenöl, Salz und Pfeffer marinieren und mit gebratenem Fisch oder Rindsfilet servieren.",Keine nähere Angabe,,Sorgfältig hergestellt in Österreich,Trocken und vor Wärme geschützt lagern.,,,
https://www.spar.at/produktwelt/spar-premium-roastbeef-p2020003108679,2020003108679,SPAR PREMIUM,Roastbeef,1 KG,5.29,5.29,Per 1 kg 52.9,,"Die Herkunft. Aus besten österreichischen Rinderteilen geschnitten und nach klassischem Verfahren sanft gegart, bleibt das Fleisch besonders zart. Der Geschmack. Zartrosa im Anschnitt, mit saftigem Biss und dezenter Würzung überzeugt das Roastbeef durch seine feine Struktur und ausgewogene Aromatik. Die Verwendungsmöglichkeiten. Dünn aufgeschnitten zur kalten Platte, in Sandwiches oder lauwarm zu Gemüse – Roastbeef bringt besten Genuss.",,"Zutaten: Rindfleisch, Salz unjodiert, Gewürze, modifizierte Stärke, Maltodextrin, Säureregulator: Natirumacetate, Zucker, Kräuter, Aromen.",,"Nährwertsbezugsgröße: 100,00 g, Energie Kjoule: ca. 642,00 kJ, Energie Kcal: ca. 153,00 kcal, Fett: ca. 5,00 g, Fett, davon gesättigte Fettsäuren: ca. 1,90 g, Kohlenhydrate: ca. 1,90 g, Kohlenhydrate, davon Zucker: < 0,50 g, Eiweiß: ca. 25,00 g, Salz: ca. 2,10 g",,,,aus Österreich,Gekühlt lagern bei +2°C - +4°C.,,,Österreich
https://www.spar.at/produktwelt/despar-burrata-p2020005974623,2020005974623,SPAR PREMIUM,Burrata,125 G,2.69,1.99,Per 1 kg 15.92,Mengenvorteil ab 2 Stk. je,"- Feiner, italienischer Frischkäse Die Herstellung. Burrata ist ein traditioneller Frischkäse, der ursprünglich aus der Region Apulien in Süditalien stammt. Ähnlich wie beim Mozzarella wird die Kuhmilch mit Lab zum Gerinnen gebracht un die entstehenden Klumpen in heißem Wasser geknetet, bis langgezogene Fäden - die sogenannte ""pasta filata"" - entstehen. Die heiße Käsemasse wird anschließend zu Taschen geformt und mit ""pasta filata"" und Obers gefüllt. Der Geschmack. ""Burrata"" stammt ursprünglich vom italienischen Wort für ""Butter"" und deutet auf das butterähnliche Aroma und die cremige Konsistenz hin. Wird der frische Burrata angeschnitten, fließt die mit Obers eingedickte ""pasta filata"" heraus. Die Verwendung. Der DESPAR PREMIUM Burrata kann mit etwas Olivenöl, Salz, Tomaten, einem italienischen Weißbrot und einem Glas Schaumwein genossen werden.",,"Zutaten: MILCH, 40% OBERS, Salz unjodiert, tierisches Lab, Konservierungsstoff: Kaliumsorbat. In Großbuchstaben angegebene Zutaten enthalten allergene Inhaltsstoffe.",Enthält Milch und daraus gewonnene Erzeugnisse (inkl. Laktose),"Nährwertsbezugsgröße: 100,00 g, Energie Kjoule: ca. 973,00 kJ, Energie Kcal: ca. 235,00 kcal, Fett: ca. 21,00 g, Fett, davon gesättigte Fettsäuren: ca. 14,00 g, Kohlenhydrate: ca. 1,50 g, Kohlenhydrate, davon Zucker: ca. 1,50 g, Ballaststoffe: ca. 0 g, Eiweiß: ca. 10,00 g, Salz: ca. 0,70 g",,,IT X8S8K UE,Prodotto in Italia,Vor und nach dem Öffnen gekühlt bei max. 7°C lagern. Nach dem Öffnen in der eigenen Aufbewahrungsflüssigkeit lagern und innerhalb eines Tages genießen.,,,Italien
